shop_type,sentence,TargetAspect,sentiment
coffee,Food is expensive too.,Product Quality,NEGATIVE
coffee,"we had to wait long for our food for about an hour, or even more at times.",Product Quality,NEGATIVE
coffee,Even the place is great and the food is good but the customer service is worst everything will fall down!,Product Quality,NEGATIVE
coffee,"The service at Annipies is poor, they serve instant coffee instead of espresso, and overcharge wherever they think that they can get away with it.",Customer Service,NEGATIVE
coffee,You can drink iced coffee made with tap water at an expensive price.,Price and Value,NEGATIVE
coffee,"But the service, my goodness, it was sooo slow.",Customer Service,NEGATIVE
coffee,"Thirty minutes before 11 PM, our drinks were still not served, so I followed up.",Product Quality,NEGATIVE
coffee,"I ordered a coffee to take home, and when I opened it, it wasn't even full and it looked like they had put something in it mural paminta or ambut unsa na hugaw vanilla latte tapos Mao ng nawng!",Product Quality,NEGATIVE
coffee,Then I think the staff needs to eat in the kitchen.,Customer Service,NEUTRAL
coffee,The staff are also not accommodating.,Customer Service,NEGATIVE
coffee,I'm left wondering how is this level of ignorance possible given they work there everyday?,Facilities and Amenities,NEGATIVE
coffee,"The drinks arent good either, and the place is often noisy with loud students.",Product Quality,NEGATIVE
coffee,Rude barista.,Customer Service,NEGATIVE
coffee,"first ever coworking space I went to, I still have to deposit 100 and need an ID, is it really expensive???",Price and Value,NEUTRAL
coffee,I can't taste.,Product Quality,NEUTRAL
coffee,"Customer service is a big part of any business, and experiences like this leave a very negative impression.",Customer Service,NEGATIVE
coffee,Food is hard.,Product Quality,NEUTRAL
coffee,Substandard food quality.,Product Quality,NEGATIVE
coffee,Blueberries on my wafles taste like expired jam.,Product Quality,NEGATIVE
coffee,No food here.,Product Quality,NEUTRAL
coffee,"Unfortunately, the same could be said of all coffee shops in Davao.",Product Quality,NEUTRAL
coffee,The food and the atmosphere was good.,Ambiance and Atmosphere,POSITIVE
coffee,"1st take out, the coffee was wrong.",Product Quality,NEGATIVE
coffee,"If it makes it slightly better, the place is aesthetic.",Ambiance and Atmosphere,POSITIVE
matcha,"Great matcha, probably one of the best in Davao.",Product Quality,POSITIVE
coffee,Good coffee.,Product Quality,POSITIVE
coffee,The service was disappointing during our visit with my friends.,Customer Service,POSITIVE
coffee,Great job on the cleanliness but food and service needs improvement.,Product Quality,NEGATIVE
coffee,The place is a little bit crowded which is understandable since it is a newly opened café and the good qualities that I mentioned.,Ambiance and Atmosphere,POSITIVE
coffee,When looking at the food and drink alone I think this place doesn't hold up.,Product Quality,NEGATIVE
coffee,I ordered their version of a Spanish Latte...lo and behold it was very bitter.,Product Quality,NEGATIVE
coffee,"Despite bringing these concerns to the attention of the staff, their response was useless and unprofessional.",Customer Service,NEGATIVE
coffee,I must say the quantity is good but since I am a foreigner it didn't match upto my taste.,Product Quality,NEGATIVE
coffee,"Overall, the place is nice and very aesthetic.",Ambiance and Atmosphere,POSITIVE
coffee,The place is peaceful and quiet.,Ambiance and Atmosphere,POSITIVE
coffee,"the place was nice when it felt like a chill escape, now just another noisy place, loud and obnoxious enough that i either HAVE TO use my bluetooth earphones to drown it out, or just leave, or not enter at all :-( food, here's my review of the whole menu.",Ambiance and Atmosphere,NEGATIVE
coffee,"Still on the menu are the old faves — Chicken Enchilada and White Choco Torte….This used to be ""the coffee hang out"" during its glory days…But as so many new coffee shops sprouted through the years, issues with poor air conditioning, slow internet connection, and the second floor always unavailable loudly spells TERRIBLE service.",Product Quality,NEGATIVE
coffee,Choco Crepe Cake tasted like cardboard.,Product Quality,NEGATIVE
coffee,The milk overpowered the matcha.,Product Quality,NEGATIVE
coffee,the price is a bit high for the serving.,Price and Value,NEGATIVE
coffee,"The service was a bit slow, especially with the food.",Customer Service,NEGATIVE
coffee,"The staff is exceptionally polite; however, the food served is ordinary and seems to be cooked without passion.",Customer Service,NEGATIVE
coffee,"Good coffee, good ambiance, plenty of parking space but slow internet connection",Ambiance and Atmosphere,NEGATIVE
matcha,"If you're into matcha that leans more on the bitter side, …",Product Quality,NEUTRAL
coffee,"Maybe a little renovation, and don't serve a day old coffee bun again please.",Product Quality,NEGATIVE
coffee,"I only wish their staff was friendlier, and more approachable, and that they can improve the dining experience by adding more light, tables and music",Facilities and Amenities,NEGATIVE
coffee,"- Unfortunately, the cashier missed one of our orders, even after repeating it back to us.",Customer Service,NEGATIVE
