place_name,latitude,longitude,rating,review_text,Shop_Type
The Limestone Brew,7.1251112,125.6647077,4,"I had a good experience at Limestone Brew in Samal Island. The food was definitely enjoyable—everything we ordered tasted fresh and well-prepared, and you can tell they put effort into the quality of their dishes. That said, the prices are a bit on the higher side, which might make you think twice if you’re on a budget. Still, the ambiance makes up for it. It’s a nice, relaxing spot to just sit back, enjoy your meal, and unwind, especially if you’re looking for a chill café vibe while on the island. Overall, it’s a solid place to visit if you don’t mind spending a little extra for good food and a comfortable atmosphere.",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"The food was incredibly delicious — every dish was fresh, flavorful, and beautifully served. Tried the baby back ribs and gambas, really a must try! The ambience was cozy and relaxing, making it a perfect spot to enjoy a meal and unwind. Highly recommended, and I’ll definitely be coming back!",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Their internet is incredibly fast, their service is topnotch and we were able to finish a lot of work before going home. They also have a piano and they allowed my kid to play a piece. And of course, I love their coffee!",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Limestone Brew never disappoints, first in the island to offer both quality and vibes! Pa balik-balik ko diri since its year of establishment. This is SB of Samal, but even if naa nay SB sa island, TLB gihapon :>",Coffee
The Limestone Brew,7.1251112,125.6647077,3,Small portion Carbonara was too soft therefore mushy which tastes reheated and the Pork in BBQ sauce was not tasty and tough. The caramel milkshakes were very good.,Coffee
The Limestone Brew,7.1251112,125.6647077,5,Super cozy cafe. I’m surprised it doesn’t get too much crowded and noisy. Definitely a break from the rush of city life 🍃☕️ …,Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Very nice and clean place with aesthetic, Instagram-worthy vibes. Spacious for customers and very affordable. Their baby back ribs are a must-try—100/100! Very near the port, and if you’re from Davao, you must visit Limestone to enjoy their delicious food and perfect ambiance!",Coffee
The Limestone Brew,7.1251112,125.6647077,4,place is clean and aesthetic.food is good but on the above average price. we ordered baby back ribs and a pasta,Coffee
The Limestone Brew,7.1251112,125.6647077,5,Had a great experience! They have good food and their coffee is superb!☕️,Coffee
The Limestone Brew,7.1251112,125.6647077,5,🩷Love it... 🌟🌟🌟The Aglio Olio... It's my comfort food (better than Italiannis) . Ended up for their Signature Burger for take away...,Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Perfect atmosphere, amazing vibes, super friendly staffs, good food…and I would like to recommend everyone ti visit and try their banana matcha (for matcha livers) and tiramisu latte",Coffee
The Limestone Brew,7.1251112,125.6647077,5,We love the foods and drink esp the salted silhoutte. Celebrated our friends’ bday here.,Coffee
The Limestone Brew,7.1251112,125.6647077,5,"The place is cozy and spacious, perfect to chill and spend time with your loved ones and friends. They also have free Wi-Fi and payment options like Cash, GCash, PayMaya, and Credit/Debit Cards. I also love that they sell different kinds of merch — from clothing products made of flour sacks, various types of tote bags, their tumbler, and the Himaya Cassava Chips. The staff are kind, friendly, and accommodating. Their food and drinks are so good! I love their Carbonara & Cheesy Bacon Fries the most! Regarding their drinks, I can recommend The Limestone Blend & Ceremonial Matcha Oat, but you can try the other drinks, too! 💚 A must-place to visit when you’re on the island!",Coffee
The Limestone Brew,7.1251112,125.6647077,3,"The place is nice. The staff are nice. The serving of the food didn't take too long, but maybe we expected too much with the food since it was pricey. We order the chicken with Honey and Garlic on it. The sauce was good, but the chicken was hard to chew (makunat). It was like eating bubblegum and it was not satisfying at all. We expected it was worth our money. But the place is super cozy, since it was super humid at the island.",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Great food, Crazy and amazing staff, and a relaxing ambiance. Limestone Brew never disappoints! 👌”",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Good food, nice place, and big serving. 5⭐️",Coffee
The Limestone Brew,7.1251112,125.6647077,3,"The coffee at this place is exceptional, and the service is top-notch. The baristas really know their craft. However, I was a bit disappointed with the food. It was neither impressive nor worth the high prices. If you're here for a caffeine fix and excellent service, it's perfect. Just don't expect the same level of greatness from the menu.",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"The food in here is so delicious, like actually i'm not joking. And the service in here is pretty good! The atmosphere is a easy 10/10, it's nicely decorated and very comfortable to be in!",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"I had a lovely experience at Limestone Brew. The coffee and food were both amazing, and the service was nice. Despite how busy it was, the staff remained calm, polite, and welcoming. It really made the visit enjoyable.",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"100/10 I love the place, ambiance. Close to the port. You should try it :)",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"We tried here when we got to Paradise Island in Samal. Hinatid kami via tuktuk, sabihan niyo lang yung guard and reception sa paradise island and they will call someone. Food here is great despite being on an island. Good food and vibes!",Coffee
The Limestone Brew,7.1251112,125.6647077,4,Always our must-visit cafe every time family is in Samal Island. Place is cozy and cold. We simply enjoy hanging out here. Will always come back,Coffee
The Limestone Brew,7.1251112,125.6647077,5,"A great place to chill and grab coffee, and the staff is friendly. It's a nice spot to work, relax, and hang out, with good food and drinks to enjoy the island vibes. Definitely worth a visit!",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"So happy to find good coffee in Samal, particularly well-made pour over coffee using beans from local roasters. Tried the Yardstick beans and loved the Celera blend. They also have good quality matcha and Oatside oat milk for those looking for non-dairy options. Will be back to try the other beans!",Coffee
The Limestone Brew,7.1251112,125.6647077,4,This place is mind blowing. This is premium cafe but the prices are soo affordable. This place gives you such a nice ambience. The furniture and dining area is much good. One of the best ambience in davao city. The frappe which we ordered is soo good and fresh. Totally nice place to have a small snack. I recommend to all to try once.,Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Definitely the best cafe in the Samal island. We ordered pasta and it tastes amazing. Also, they explained about coffee really well and it tastes so good.",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"I drop by after motor touring in Samal. When I passed by, I noticed the shop, decorated nicely and I could see the trandy / relaxing atomosphere inside, too. Since I had my motorbiike, I ordered Lemonade and drank it in external area. I thought Lemonade is Lemonade, but for this shop, they use nice ingredients and some seasonings, ended up as one of the best Lemonade I've ever tried. Staffs looked to have responsibility as professional barista, and hope I want to visit their speciality: )",Coffee
The Limestone Brew,7.1251112,125.6647077,5,"Pistachio latte was good! The food wasn't mindblowingly, out-of-this-world delicious, but it was tasty enough. ^^ Cozy, tidy, very IG-worthy, a bit cheeky having ""escape the rush"" in bright letters facing the line for the nearby ferries 😂",Coffee
The Limestone Brew,7.1251112,125.6647077,4,The place and location is amazing. Near lang sa barge. The space is big so they can accommodate lots of people. The coffee its alright ive trief cafe latte and matcha latte. We order cholate cupcake tho and it was yum.,Coffee
The Limestone Brew,7.1251112,125.6647077,5,Such a cozy spot to eat and hang out. The food is great and the WiFi is fast—perfect for VAs visiting Samal Island.,Coffee
