place_name,rating,shop_type,sentence,TargetAspect,Sentiment,is_synthetic
Kape Obrero,2,coffee,"Mahal kaayo ang drinks, di worth it for the price.",Price and Value,Negative,TRUE
Matcha Matina,1,matcha,Overpriced sya para sa gamay na serving ng matcha.,Price and Value,Negative,TRUE
Torres Brews,2,coffee,Not worth the price jud ang kape nila dri.,Price and Value,Negative,TRUE
Lanang Matcha House,2,matcha,Pricey for a matcha place in Davao City.,Price and Value,Negative,TRUE
Davao Kape,1,coffee,Grabe ka mahal ang drinks di man lami.,Price and Value,Negative,TRUE
Buhangin Brew,1,matcha,Mahal masyado tapos puro yelo lang ang matcha latte.,Price and Value,Negative,TRUE
Ecoland Coffee Co,2,coffee,Dili reasonable ang price sa ila pastries and drinks.,Price and Value,Negative,TRUE
Kape Obrero,2,coffee,Lami unta kaso murag overpriced ra jud kaayo sya.,Price and Value,Negative,TRUE
Cafe Agdao,1,coffee,Too expensive for a standard iced latte.,Price and Value,Negative,TRUE
Roxas Beans,2,coffee,Gamay ra ang serving size for its price.,Price and Value,Negative,TRUE
Torres Brews,2,coffee,Medyo pricey sya and dili makatarungan ang lasa.,Price and Value,Negative,TRUE
Lanang Matcha House,1,matcha,Sayang ang kwarta dili worth it ilang food.,Price and Value,Negative,TRUE
Ecoland Coffee Co,2,coffee,"Mahal kaayo ilang food, dili pang student budget.",Price and Value,Negative,TRUE
Matcha Matina,1,matcha,"Overpriced jud siya, dili nako mubalik.",Price and Value,Negative,TRUE
Davao Kape,2,coffee,The drink feels overpriced for what it actually delivers.,Price and Value,Negative,TRUE
Buhangin Brew,2,coffee,"Food is expensive too, murag Manila rate na siya.",Price and Value,Negative,TRUE
Cafe Agdao,1,coffee,Expensive but the food is mostly tasteless.,Price and Value,Negative,TRUE
Roxas Beans,2,coffee,The price.. Pricey sya for a Davao food standpoint.,Price and Value,Negative,TRUE
Lanang Matcha House,1,matcha,"Kamahal ba sa inyong matcha, mura tag gitulis.",Price and Value,Negative,TRUE
