place_name,latitude,longitude,rating,review_text
"Kofi Gram Bangkal",7.0573666,125.56099,5,"This is one of my favorite cafés! I’ve been here around six times already, and I even have a loyalty card. The place has a cozy and peaceful atmosphere, making it perfect for studying or getting work done. It’s also conveniently located …"
"Kofi Gram Bangkal",7.0573666,125.56099,4,"We went to addu bangkal, while my daughter is taking the qeac entrance exam I was looking for a place to stay and luckily it is just located near addu bangkal. The coffee scent welcomes you the moment you open the door. I loved it! We …"
"Kofi Gram Bangkal",7.0573666,125.56099,4,"Visited on a Sunday around 10am. The place was cozy. There are only 2 groups of customers including us so there's much space. Food wise, it was an average serving, average taste."
"Kofi Gram Bangkal",7.0573666,125.56099,5,"The food serving is so worth it and recommendable!!! I just found this cafe in google recommendations and it went as expected. Great service too by the way!! They’ve rocked this industry so far"
"Kofi Gram Bangkal",7.0573666,125.56099,5,"Great food and coffee options. They are open til midnight. Ambiance feels relaxing too."
"Kofi Gram Bangkal",7.0573666,125.56099,4,"Coffee lovers, rejoice! Just had the best experience at Kofi Gram and I can’t stop raving about it! The cozy ambiance, paired with their coffee brews, makes it the perfect spot to chill or catch up with friends. Their Iced Mocha was a total …"
"Kofi Gram Bangkal",7.0573666,125.56099,5,"Our recent saturday night out was a bomb! We arrived around 9 pm and the place was so quiet matched with very welcoming smiles of the staff. The place was trendy and at the same time offers a romantic vibe making it perfect for what we want …"
"Kofi Gram Bangkal",7.0573666,125.56099,5,"Koffee Gram was such a wonderful addition to our wedding reception. Our guests really enjoyed the coffee station, especially during the later part of the celebration when everyone was relaxing and chatting. The quality of coffee was great and your staff was very friendly and accommodating throughout the event. Thank you!"
"Kofi Gram Bangkal",7.0573666,125.56099,3,"my order is hot spanish latte. the milk was under aeration due to its watery texture. its not over steamed since its not that hot. also, i didnt taste the coffee/espresso even though its 60/40 (if i am not mistaken, but i am sure its not 100% arabica since i asked the barista). i love the atmosphere and the service they provide."
"Kofi Gram Bangkal",7.0573666,125.56099,5,"although pricey, still one of the best cafés out there. Food: it was really good, but their burger had too much mayonnaise to the point …"
"Kofi Gram Bangkal",7.0573666,125.56099,4,"Alert and active at 8 a.m. This cute and clean cafe fronts Ateneo Senior HS in Bangkal. Evident along the highway. Only one parking slot at the front. Counter staff was accommodating. Orders took a while though. Prices are reasonable and …"
"Kofi Gram Bangkal",7.0573666,125.56099,4,"Instagrammable coffee shop along the highway near ADDU highschool bangkal. Visited on a Sunday afternoon and so far not so crowded during the time of our visit. Ambiance is a 10/10 for me, although Food is quite expensive, Coffee is good: …"
"Kofi Gram Bangkal",7.0573666,125.56099,4,"6x nami here nag visit. Their burger and carbonara are really delicious, mao among go-to order pirme! However, they’re a bit inconsistent with their drinks. Usahay they serve them in a glass, unya panagsa sad kay sa plastic cup. It’s not a …"
