place_name,latitude,longitude,rating,review_text,Shop_Type
Craft Coffee & Roastery,7.0852021,125.6081405,4,"I was looking for a coffee shop near our school, and chanced upon this cafè in Dacudao, which is around 700 meters away. Upon entering, the staff welcomed me with a pleasant greeting, super bait talaga to accommodate me. 💛 I ordered their CSL sea salt latte afterwards. However, I think the milk which they used had gone bad, so after more or less 3 sips, sumakit tiyan ko. 🙁 Thankfully, they were so kind to change it into a cafe latte instead, and the taste is good, 7/10 to my liking. Overall, I love the vibe and ambiance of the place, a conducive one to study or chill, kaso until 10:00 PM lang din sila, so if you're planning to study beyond 10:00, you may want to look for other 24/7 coffee shops. Thank you, Craft Coffee! 🫶",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,"My go-to cafe after workouts with my boyfriend. Their food is sooo good and the drinks have a wide variety. We tried the breakfast meals, the coffees, shakes, sodas, and cakes. They're all worth the price. There's free wifi and the place is spacious and chill to hang out in. The staff are always very nice to talk to and ask about the menu. Worth to note: +3% charge if you use a card but none with gcash.",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,"☕ Craft Coffee Roastery – Butuan We purposely visited Craft Coffee Roastery, and although it's a bit far from Butuan city proper, it was definitely worth the trip! We enjoyed trying out their crafted coffee and tea — they offer a wide variety to explore. I personally loved the Merry Berry Tea; it felt like a little tea party since I had my own teapot to pour from! My hubby also enjoyed his freshly brewed coffee. 🍽️ What we ordered: • Bolognese Spaghetti – tasty and satisfying (10/10!) • Ham and Cheese Sandwiches – simple but flavorful • Of course, their signature craft coffee The ambiance was cozy and refreshing — perfect for anyone who appreciates quality brews and a relaxing atmosphere. ✅ Professional service and fast serving time added to the great experience. We also took home 1kg of coffee beans, which they helpfully powderized using their in-house machine. Great value for coffee lovers!",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,"Ambiance is nice. I ordered iced white mocha and I liked it. I was not able to buy some beans because they don't have stock. 😔 the service is good, the baristas are accommodating to our requests but it will be better if they are a little faster. ✌️",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,"You can smell coffee the moment you open their door. I ordered a clubhouse sandwich and it tasted good. I would recommend you to try this coffee shop. It is small, cozy yet food is delectable.",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,"The aroma of coffee envelopes the place when you get past the front door. Then the sound of grinding beans emanate the background. The look and feel of this cafe — well-kept and clean. Staff encountered are always smiling, helpful, and kind. The Chicken Zurich meal was simply light but good. The delightfully distinct taste of the Iced CSL, the Spanish Latte and Iced Toffee with Caramel were all delicious. The Spicy Seafood Aglio Olio and just the plain Aglio Olio were flavorful too….Make this one of your stops when you are in the area….Prices are modest….Vast offers across their menu…..Surely, you will love their coffee drinks…..Won't be thinking twice 'coz I'm really coming back……",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,"Another great local coffeeshop that opens up at 7am that's alongside the road, so if you're on the go and craving for a coffee fix early in the morning, you should definitely stop by. Their coffee is good and rich, and what I personally recommend is their hot white mocha. It's not too sweet which is a perfect pick me up. They also offer a variety of food, but I only got to try one of their sandwhich and it was well worth the price point. Aside from this, they also offer coffee beans for sale! So if you're looking for quality beans for at home or even business use, then this is a good place to check out!",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,"Nestled in the heart of Davao City, Coffee Shop Craft Coffee offers a cozy escape with its warm ambiance and inviting decor, creating the perfect setting for a relaxing coffee experience.",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,Good coffee with special roasts. They also sell local coffee beans at good prices.,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,Coffee was ok lang. Helpful staff. Vibe was ok lang. But interesting and educational stuff on the walls. Learned something new!,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,Good quality coffee ! They have special blends for expresso and latte ! Recommend this place,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,"Good customer service, and staffs were very friendly and attentive. For food and drink, I would give 10/10. Will definitely visit again.",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,Indulge in the irresistible aroma and taste of their brewed coffee.,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,One of the best coffees in town!,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,1,SADLY THEIR WIFI IS NOT AVAILABLE.😔,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,An underrated coffeeshop. Please try and support this place. You won't regret it,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,Superb on the spot roastery. Fresh!!,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,Good food. Great ambience. Exceptional customer service.,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,THE ONLY YUMMY COFFEE IN MINTAL,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,i love the service. i love the food! i love craft!,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,the best local coffee in davao city,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,Superb. Best coffee!!,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,A must visit Cafe when in Davao. 🤙☕,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,Must try to visit and dine,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,"first, we ordered the spanish latte and oreo frappe to go. it took around 20 minutes to prepare even though i was the only customer inside the café and there were three staff at the coffee bar. the iced spanish latte was good—it didn't have that sour taste some coffees do, was a bit creamier than my preference, but still had a strong coffee kick in the aftertaste. the oreo frappe, on the other hand, was too sweet for my liking. i ordered again through grab and requested extra ice, and they even gave me a separate cup filled with ice, which i really appreciated. after almost 4 hours, the coffee still tasted just as good. i also tried their iced craft csl, and i actually preferred it over the spanish latte because it had a stronger coffee flavor and wasn't as creamy. their food was also really good, with generous portions, and everything was served hot and freshly made.",Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,4,,Coffee
Craft Coffee & Roastery,7.0852021,125.6081405,5,,Coffee
