place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,prob_negative,prob_neutral,prob_positive,predicted_label,margin
Starbucks,5,coffee,Truly a Starbuckian and cozy place to chill and unwind,Ambiance and Atmosphere,,False,0.38691276,0.22450367,0.38858354,POSITIVE,0.0016707778
ROOFTOP Café Bar,5,coffee,Great atmosphere,Ambiance and Atmosphere,,False,0.39399427,0.21474515,0.3912606,NEGATIVE,0.0027336776
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,The staffs are really kind and approachable i like the vibe and the song of choice they play,Ambiance and Atmosphere,,False,0.3889433,0.22185816,0.3891985,POSITIVE,0.0002551973
Fourth Street Cafe,5,coffee,"Minimalist vibe, al fresco setting, and great coffee.",Ambiance and Atmosphere,,False,0.41359147,0.17542511,0.41098338,NEGATIVE,0.0026080906
Cafe Demitasse,5,coffee,"We love the vibrant ambiance, customer service of the guards and waiters, clean comfort rooms and the yummy foods especially the cakes.",Ambiance and Atmosphere,,False,0.39737257,0.20896067,0.39366674,NEGATIVE,0.0037058294
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"We were all happy with the service, the ambiance, and of course the food and drinks.",Ambiance and Atmosphere,,False,0.408475,0.18870692,0.40281802,NEGATIVE,0.0056569874
Evermore Cafe Davao,5,coffee,"This chic, contemporary establishment perfectly complements the neighborhood's serene ambiance.",Ambiance and Atmosphere,,False,0.39510396,0.20773184,0.3971642,POSITIVE,0.0020602345
Matcha Point,1,matcha,Way lami itambay kay ang alimuot sa ilang second floor.,Ambiance and Atmosphere,,True,0.38839054,0.22926237,0.3823471,NEGATIVE,0.006043434
Kotetsu by Wood and Coffee,5,coffee,"The food was really yummy and the ambiance was warm and relaxing, which made the whole experience nice.",Ambiance and Atmosphere,,False,0.40620312,0.19127405,0.4025228,NEGATIVE,0.0036803186
JH Garden Cafe and Restaurant Matina,4,coffee,Chill place and peaceful.,Ambiance and Atmosphere,,False,0.40851384,0.18629329,0.40519288,NEGATIVE,0.0033209622
JH Garden Cafe and Restaurant Matina,5,coffee,"The peaceful ambiance, combined with the natural beauty of the surroundings, makes it an ideal place for any occasion.",Ambiance and Atmosphere,,False,0.39032882,0.2138786,0.39579257,POSITIVE,0.005463749
Koffiepauze,4,matcha,The ambiance is nice,Ambiance and Atmosphere,,False,0.3925297,0.2158158,0.3916545,NEGATIVE,0.0008752048
Starbucks,5,coffee,Good coffee and good ambiance,Ambiance and Atmosphere,,False,0.38902405,0.21783473,0.3931412,POSITIVE,0.004117161
Hid'n Coffee,5,coffee,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions.",Ambiance and Atmosphere,,False,0.3924227,0.21559565,0.3919816,NEGATIVE,0.00044110417
KISOM Atelier,5,matcha,Very chill vibe too.,Ambiance and Atmosphere,,False,0.40021947,0.20427762,0.39550292,NEGATIVE,0.0047165453
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash,Ambiance and Atmosphere,,False,0.38603228,0.22479835,0.38916945,POSITIVE,0.0031371713
Coffee Project Mintal,4,coffee,"The place is beautifully designed — cozy, Instagram-worthy, and has that relaxing vibe that makes you want to stay longer.",Ambiance and Atmosphere,,False,0.40900522,0.18535297,0.4056418,NEGATIVE,0.0033634305
Good One Cafe and Yogurt,5,coffee,The interior is very unique and the ambiance is great.,Ambiance and Atmosphere,,False,0.3940719,0.20857464,0.39735347,POSITIVE,0.0032815635
Annipie,5,coffee,Very nice ambiance with lots of cakes to choose from.,Ambiance and Atmosphere,,False,0.39785373,0.21016037,0.39198598,NEGATIVE,0.0058677495
Bandejas Cafe & Diner,5,coffee,"Lovely atmosphere, delicious food and great music.",Ambiance and Atmosphere,,False,0.4058057,0.19339824,0.400796,NEGATIVE,0.005009711
Humble Table,4,coffee,The place has a cute and cozy ambiance.,Ambiance and Atmosphere,,False,0.3979025,0.203768,0.3983295,POSITIVE,0.00042700768
Paramount Coffee Crocodile Park Davao,4,coffee,a place to go for a good cuppa with relaxing ambiance depending on the time of day.,Ambiance and Atmosphere,,False,0.38647607,0.22605278,0.3874712,POSITIVE,0.0009951293
Fourth Street Cafe,5,coffee,"Love the minimalist approach, the friendly baristas and the cafe's airy & relaxing atmosphere.",Ambiance and Atmosphere,,False,0.39601862,0.2067794,0.397202,POSITIVE,0.0011833608
ROOFTOP Café Bar,5,coffee,We enjoy the food with the calm ambiance.,Ambiance and Atmosphere,,False,0.3967231,0.20831606,0.39496082,NEGATIVE,0.0017622709
Daleachious Cafe - Ecoland Branch,5,coffee,Their jazzy background music makes you mellow down and enjoy the ambiance.,Ambiance and Atmosphere,,False,0.39141363,0.2209304,0.38765594,NEGATIVE,0.0037576854
Outlook,5,coffee,"The outdoor tables are adorned with warm accent lights that mimic candlelight, creating a romantic and intimate atmosphere.",Ambiance and Atmosphere,,False,0.38989478,0.2199999,0.39010537,POSITIVE,0.00021058321
Fourth Street Cafe,5,coffee,The minimalist design of the cafe creates a soothing atmosphere that's perfect for savoring every sip.,Ambiance and Atmosphere,,False,0.3880175,0.22220795,0.38977456,POSITIVE,0.0017570555
Starbucks Damosa IT Park Drive-Thru,5,coffee,"The all-glass front and side are particularly pleasing and add a beautiful ambiance, especially at night.",Ambiance and Atmosphere,,False,0.3904443,0.21730794,0.39224774,POSITIVE,0.0018034279
The Matcha Tokyo - SM Davao,5,matcha,Great atmosphere and service too :)),Ambiance and Atmosphere,,False,0.39719367,0.20946413,0.39334223,NEGATIVE,0.0038514435
Indahouse Cafe,5,coffee,Place: Very Instagrammable Staff: friendly and very attentive Matcha: you can explore various types of high quality matcha drink.,Ambiance and Atmosphere,,False,0.3954763,0.21302286,0.3915008,NEGATIVE,0.0039755106
Kafih - Davao,5,coffee,"Worth the price  OK_hand_light_skin_tone  The services, wifi the ambiance.",Ambiance and Atmosphere,,False,0.39080924,0.21853933,0.3906514,NEGATIVE,0.0001578331
Starbucks SM Davao Expansion Wing,5,coffee,New look but same vibe.,Ambiance and Atmosphere,,False,0.39816728,0.20188376,0.399949,POSITIVE,0.0017817318
Green Coffee - Marfori,5,coffee,clean and quiet green coffee branch.,Ambiance and Atmosphere,,False,0.39343452,0.21260294,0.39396253,POSITIVE,0.00052800775
Mandatory Matcha Bar,5,matcha,Small interior space but I absolutely love the intimate atmosphere!,Ambiance and Atmosphere,,False,0.39698464,0.20972456,0.3932908,NEGATIVE,0.0036938488
Seattle's Best Coffee,5,coffee,I always go for the al fresco area because the ambiance is really nice.,Ambiance and Atmosphere,,False,0.3954862,0.21116664,0.39334717,NEGATIVE,0.002139032
Space-Arabica,5,coffee,Aesthetic!,Ambiance and Atmosphere,,False,0.39126635,0.21664271,0.39209095,POSITIVE,0.00082460046
Whisk Davao Matcha,4,matcha,"Love the ambiance, too!",Ambiance and Atmosphere,,False,0.4115213,0.17974408,0.40873462,NEGATIVE,0.0027866662
Brew and Cinnamon Cafe,5,coffee,"So nice ambiance at this shop, the place is just in front of GoHotel/ Phonex near Guadalupe Village.",Ambiance and Atmosphere,,False,0.39609596,0.21281509,0.391089,NEGATIVE,0.005006969
The Coffee Bar at GMall of Davao,5,coffee,Elegant Classy vibe.,Ambiance and Atmosphere,,False,0.39635044,0.21100418,0.3926454,NEGATIVE,0.0037050545
Matcha Bar - Marfori,5,matcha,Cosy atmosphere with unique interior design.,Ambiance and Atmosphere,,False,0.39592093,0.20891306,0.39516604,NEGATIVE,0.0007548928
KISOM Atelier,3,matcha,It ruins the ambiance of an otherwise lovely place.,Ambiance and Atmosphere,,False,0.39132327,0.21979854,0.38887823,NEGATIVE,0.0024450421
Whisk Davao Matcha,5,matcha,"Great place, peaceful vibe.",Ambiance and Atmosphere,,False,0.43462673,0.1356721,0.42970112,NEGATIVE,0.0049256086
Espresso Lab Cafe Davao,4,coffee,Beautiful lighting and great atmosphere,Ambiance and Atmosphere,,False,0.38604584,0.22291856,0.3910356,POSITIVE,0.004989743
Annipie @ The Farm,5,coffee,A place to go when you want peace and quiet day with family.,Ambiance and Atmosphere,,False,0.39479563,0.21677642,0.388428,NEGATIVE,0.006367624
Coffee Project Mintal,4,coffee,"The ambiance is cosy, walls with artistic murals that add warmth and playfulness.",Ambiance and Atmosphere,,False,0.38979903,0.21761723,0.39258376,POSITIVE,0.002784729
Indahouse Cafe,5,coffee,the AMBIANCE you must SEE and FEEL for yourself... it's TRULY worth your TIME and MONEY... #indahouse,Ambiance and Atmosphere,,False,0.38752133,0.22620939,0.38626933,NEGATIVE,0.0012519956
Coffee at Yellow Hauz,1,coffee,The food and the atmosphere at your establishment are commendable.,Ambiance and Atmosphere,,False,0.39200398,0.2140924,0.39390364,POSITIVE,0.0018996596
COFFIX COFFEE SHOP,1,coffee,Atmosphere 1/5 No such atmosphere.,Ambiance and Atmosphere,,False,0.39253405,0.21618432,0.3912816,NEGATIVE,0.0012524426
Matcha Ureshi Bar,5,matcha,"good ambiance, good matcha & good service",Ambiance and Atmosphere,,False,0.4038456,0.19715925,0.39899516,NEGATIVE,0.004850447
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash  …,Ambiance and Atmosphere,,False,0.38698256,0.22426553,0.3887519,POSITIVE,0.0017693341
Matcha Bar - Marfori,5,matcha,"The place is also very aesthetic, clean and minimalistic.",Ambiance and Atmosphere,,False,0.39550596,0.2056764,0.3988176,POSITIVE,0.003311634
Dakong Balay,5,coffee,nice atmosphere with delicious food,Ambiance and Atmosphere,,False,0.39063707,0.21845205,0.39091095,POSITIVE,0.00027388334
Whisk It Good Matcha,5,matcha,Aesthetic vibes!,Ambiance and Atmosphere,,False,0.3936324,0.21031614,0.39605147,POSITIVE,0.0024190545
Starbucks - SM Lanang,5,coffee,"Cozy atmosphere, relaxing music, and the smell of coffee hits differently the moment you enter.",Ambiance and Atmosphere,,False,0.3966126,0.2081516,0.39523584,NEGATIVE,0.0013767779
REVEL by Confex,5,coffee,The ambiance is so relaxing and delicious.,Ambiance and Atmosphere,,False,0.39133492,0.21454695,0.39411816,POSITIVE,0.002783239
Brew Lane Café,4,coffee,I love the ambience and the music so much!,Ambiance and Atmosphere,,False,0.3907075,0.21589924,0.39339328,POSITIVE,0.0026857853
Indahouse Cafe,4,coffee,Old town Japanese vibe It must be pretty at night when lights hanged on the tree are lit.,Ambiance and Atmosphere,,False,0.38816747,0.22580987,0.38602266,NEGATIVE,0.0021448135
The Secret Garden Cafe,5,coffee,The Cafe offers a unique ambiance that combines a cozy atmosphere with a beautiful indoor garden setup.,Ambiance and Atmosphere,,False,0.38672635,0.22328143,0.38999227,POSITIVE,0.0032659173
KISOM Atelier,5,matcha,Love the atmosphere of the place quiet and chill.,Ambiance and Atmosphere,,False,0.39294213,0.21327385,0.39378396,POSITIVE,0.0008418262
Fourth Street Cafe,5,coffee,The ambiance was conducive for studying.,Ambiance and Atmosphere,,False,0.39697984,0.20470987,0.3983103,POSITIVE,0.0013304651
The Coffee Bar at GMall of Davao,5,coffee,Good ambiance and very nice place to study!,Ambiance and Atmosphere,,False,0.3989135,0.20176086,0.39932558,POSITIVE,0.0004120767
Green Coffee - Marfori,5,coffee,Great place for studying and chilling and place is quiet and the atmosphere is peaceful.,Ambiance and Atmosphere,,False,0.39662495,0.20941527,0.39395985,NEGATIVE,0.0026651025
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"Delicious foods,impleccable service amd charming ambiance blue_heart",Ambiance and Atmosphere,,False,0.39396426,0.20991564,0.39612013,POSITIVE,0.0021558702
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,"The ambiance is cozy and artistic, making the whole experience even more enjoyable.",Ambiance and Atmosphere,,False,0.3922348,0.21384539,0.39391977,POSITIVE,0.0016849637
Wood and Coffee Davao,4,coffee,"The overall aesthetic of the place was impressive, as expected from a design by an artist.",Ambiance and Atmosphere,,False,0.40504828,0.19468497,0.40026677,NEGATIVE,0.0047815144
Hola Coffee,5,coffee,And it has a kinda peaceful chill place for me hehe,Ambiance and Atmosphere,,False,0.3896126,0.22213057,0.38825694,NEGATIVE,0.001355648
Starbucks - SM City Davao,5,coffee,Everything is good the food the service and the ambiance.,Customer Service,,False,0.40091118,0.20457362,0.39451513,NEGATIVE,0.006396055
Seattle's Best Coffee,5,coffee,Beautiful ambiance and very delicious coffee plus accomodating crew white_heart  sparkles,Customer Service,,False,0.3892749,0.22527236,0.38545272,NEGATIVE,0.0038221776
