place_name,latitude,longitude,rating,review_text
"Barok Cafe and Resto",7.0834681,125.6105,2,"I visited mainly because of the co-working space. The food was okay, but I had to wait in line for a while since only one counter was open. I paid for my meal, coffee, and the hourly co-working fee (around ₱35, if I remember correctly), then stayed for about eight hours to complete my work shift. Unfortunately, the co-working area was disappointing. The room wasn’t well maintained, the chairs and tables were messy, and you could still hear noise from outside, which made it difficult to focus. Considering there’s an additional hourly fee, I expected a cleaner and quieter environment. Overall, I didn’t find the co-working space worth paying extra for. In my opinion, sitting in the regular dining area would have provided almost the same experience."
"Barok Cafe and Resto",7.0834681,125.6105,3,"I was looking for a hangout spot early in the morning and was glad to find Barok Cafe, which is open 24 hours. The place is spacious and has a comfortable setup with wifi, power sockets, and areas suitable for both dining and working. I ordered an iced coffee during my visit, which was okay. However, there were quite a number of flies during my visit, which affected the overall experience. To add, considering I only ordered a latte, it also took quite some time to be prepared, which was a bit unexpected for a simple order."
"Barok Cafe and Resto",7.0834681,125.6105,5,"I love the place's vibe, pleasing to eyes, windows were enough to get sunlight, although some areas doesn't reach the aircondition so we have to move from one seat to another. We have some orders not being available, but goodthing the second option is in so it's not really a big deal. The food served just right on waiting time. Coffee is smooth, rich, and full-bodied. The food deserves to be devoured too! Would definitely comeback!"
"Barok Cafe and Resto",7.0834681,125.6105,3,"I recently visited Barok Café and tried their Pamahaw Latte. Unfortunately, it wasn’t my favorite coffee experience in Davao. The flavor just didn’t suit my personal taste — though it might simply not be the kind of drink for me. That said, I really appreciated the ambiance of the place. The space is nice and has a cozy vibe that makes it comfortable to stay and relax. One thing I hope they can improve on is the serving time. It took quite a while for my drink to arrive, and I even had to follow up on my order despite the café not being busy at that time. Overall, while the drink didn’t work for me, the atmosphere is pleasant. Hoping for a smoother experience next time."
"Barok Cafe and Resto",7.0834681,125.6105,5,"I had a great time here! The space is perfectly sized for group hangouts with friends—never felt cramped. What really stands out is the menu; it’s incredibly diverse with options that work for breakfast, lunch, or dinner. Highly recommended!"
"Barok Cafe and Resto",7.0834681,125.6105,5,"Our first time to this location of Barok Cafe and Resto was good as we expected. We have been to their other location many times since we live close to it. The place was clean even though they were busy on a Thursday evening when we went. It is roomy and there areas for groups to reserve for meetings, parties, etc. We were greeted by staff and given menus. We ordered the Hawaiian Pizza and the Bacon Parmesan Salad. Our wait time was reasonable and it was just as we hoped. The salad had good textures and flavors and paired well with the pizza. Our pizza had just the right amount of cheese, pineapple and ham and the crust thin and cooked well. A great dining experience!"
"Barok Cafe and Resto",7.0834681,125.6105,2,"I recently tried your Blueberry Cheesecake, but I was disappointed with the taste. The base didn’t taste like cheesecake—it seemed more like it had gelatin or resembled an egg tart. The blueberry topping was also too watery. You might want to consider changing your supplier. For a price of over ₱200, I expected to taste more cream cheese, but it just wasn’t there. Honestly, it was disappointing. I’ve had better-tasting cakes from Green Coffee at around ₱130. As for the matcha, I also find it overpriced. The taste doesn’t match the price—it feels like something that should cost around ₱49. You may want to consider upgrading the quality of your ingredients. At the end of the day, no matter how expensive a product is, customers are willing to pay if it’s worth it. But if it’s overpriced and unsatisfying, it will only lead to disappointment and discourage repeat purchases. This is an honest review, and I hope you take it into consideration. Thank you."
"Barok Cafe and Resto",7.0834681,125.6105,2,"Parking here is limited, though they do offer additional paid parking nearby. On the night we visited, they seemed to be out of everything we ordered. We tried to be accommodating and changed our order several times, but to my surprise, they didn’t have anything we wanted. Since the place is open 24/7, you’d expect them to be better prepared. After several attempts, we gave up and went to the restaurant across the street. I’d be open to giving them another try in the future to see what they actually offer."
"Barok Cafe and Resto",7.0834681,125.6105,5,"Big thanks to the staff and crew of Barok Cafe & Resto! We truly appreciate your warm assistance, best accommodation, and the helpful advice you gave to make sure our event went smoothly. You made us feel well taken care of, and we’re grateful for all your effort."
"Barok Cafe and Resto",7.0834681,125.6105,4,"Spacious table set ups ideal for large group dining. Order serving time takes a bit long and is a bit pricey. 1 star less for parking unavailability. Consumes time to look for a parking area."
"Barok Cafe and Resto",7.0834681,125.6105,5,"I had a wonderful experience at Barok Cafe & Resto. The food is impressive, especially considering the reasonable prices. I particularly enjoyed the pasta, chicken wings, and fries—each dish was flavorful and satisfying. Their coffee and pastries are also noteworthy, making it a great spot for both meals and light snacks. The restaurant itself is clean and cozy, offering a comfortable and inviting ambiance whether you're dining in alone or with friends. One of the highlights for me is that Barok Cafe & Resto operates 24 hours, which is a rare and much-appreciated convenience in Davao City. I’m genuinely glad to have discovered this place. If you’re looking for a spot that offers quality food, a relaxing atmosphere, and round-the-clock service, I highly recommend giving this restaurant a try."
