place_name,latitude,longitude,rating,review_text
"Green Coffee - Diversion",7.0647955,125.5495725,4,"Green Coffee is honestly one of my favorite spots to hang out or get some work done. The place is cozy and relaxing, and the location along Diversion Road makes it feel like a nice escape from the busy city. I especially love the alfresco area—the greenery and outdoor setting make it such a pleasant place to sit, whether you’re working remotely or catching up with friends. The coffee is consistently good, and the pastries are absolutely divine. It’s the kind of place where you can easily spend hours enjoying the atmosphere, a good cup of coffee, and great food. The only downside during my visits has been the service. The staff didn’t come across as very friendly or welcoming, which is a bit disappointing considering how wonderful the place itself is. A warmer and more attentive approach from the team would really elevate the whole experience. Overall, still a great café for the ambiance, coffee, and pastries—I just hope the customer service improves to match how amazing the place is. ☕🌿"
"Green Coffee - Diversion",7.0647955,125.5495725,5,"The place is spacious, clean, with wifi available & polite staff! Parking is not a problem. The building is almost surrounded with parking spaces. No issues with insects or lizards unless you occupy a table outside the building, as what I heard from the others.🙄 It is just normal for open spaces, to encounter things like that. 🤔😃 There are plenty of tables outside the building. So, just stay inside the building if you are afraid of lizards or insects. I think it is seldom. I enjoy my coffee and time in this place while waiting for my XYL.😃😄"
"Green Coffee - Diversion",7.0647955,125.5495725,1,"I went to Green Coffee Diversion Road at 3:22 AM, well before their advertised closing time of 4:00 AM. As soon as we arrived, the staff suddenly turned off the lights to make us leave and told us they were already closed. This was very disappointing because they clearly advertise that they are open until 4 AM. The staff seemed to already be cleaning the place and looked unwilling to make the drinks we ordered, almost like they just didn’t want to serve customers anymore. The staff was rude and unaccommodating, and there was no effort to honor their posted business hours. If you advertise that you close at 4 AM, customers should still be able to order at 3:22 AM. Very poor customer service and a frustrating experience. I hope management addresses this because it reflects badly on the establishment."
"Green Coffee - Diversion",7.0647955,125.5495725,3,"Loved how the place was so spacious and bright, great for meetings and gatherings. Unfortunately, coffee was too sweet and food choices were limited to pastries. Hope they would expand their menu to cater to more varied customers."
"Green Coffee - Diversion",7.0647955,125.5495725,4,"Very clean and spacious! But there is times I can’t study properly due to being distracted to noisy people but that’s aight since it’s public and literally for everyone. Drinks is good :3"
"Green Coffee - Diversion",7.0647955,125.5495725,3,"A capacious South side branch of Green Coffee that is just along Diversion road. Considerable array of pastries, and wide parking too. The Cheezy Banana Loaf and Chocolate Fine Salt & Cheese drink were fit for a quick morning bite. Password voucher they give out is good for four (4) hours, so more work can be done online. I just wish they have more breads and soon add pasta plates to their menu. (Menu hasn’t changed for as long as I can remember.)"
"Green Coffee - Diversion",7.0647955,125.5495725,5,"Very spacious. And I love how it's open during the wee hours of the day. Since they just opened, don't expect much as there's no internet yet. So better bring your own data. I love how there's center isle of plants inside with a lanay where you can see more greens. True to it's name. And more parking at the back. Looking forward to visiting again soon."
"Green Coffee - Diversion",7.0647955,125.5495725,5,"A nice coffee ☕️spot for a rendezvous. I chance to visit here during a road trip in Buda passing the diversion road. Its quite spacious, welcoming atmosphere and lovely and minimalistic interiors. The parking space is quite big too and its a drive thru coffee shop. I had Cafe americano, a decent cup but I will say their blueberry ensaymada is heavenly good. A good pair with black coffee. The staffs are ok, couldnt have been better if they can greet you more warmer 😊 All in all, a nice coffee to conduct business, meeting friends and substitute for overcrowd coffee places. A gem to find in Davao."
"Green Coffee - Diversion",7.0647955,125.5495725,5,"They serve great coffee, breads and cakes. No other food tho. Its a great place to end your busy day and enjoy reading your favorite books. Food prices are average and worth it. 😊"
"Green Coffee - Diversion",7.0647955,125.5495725,5,"The place is so spacious it feels relaxing. An excellent location for you to unwind. The cakes are good, though I did hear the pasta is in the menu but is actually non existent. Ample parking. A lot of space. Closes late, great for a nightcap."
