place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,ground_truth,is_tie,vote_breakdown
Seattle's Best Coffee,1,coffee,Food is expensive too.,Product Quality,NEGATIVE,False,,,
HYGGE COFFEE 2,1,coffee,"we had to wait long for our food for about an hour, or even more at times.",Product Quality,NEGATIVE,False,,,
Green Coffee - Diversion,1,coffee,Even the place is great and the food is good but the customer service is worst everything will fall down!,Product Quality,NEGATIVE,False,,,
Annipie Airport View,1,coffee,"The service at Annipies is poor, they serve instant coffee instead of espresso, and overcharge wherever they think that they can get away with it.",Customer Service,NEGATIVE,False,,,
Dear Joe Frontera,1,coffee,You can drink iced coffee made with tap water at an expensive price.,Price and Value,NEGATIVE,False,,,
Evermore Cafe Davao,1,coffee,"But the service, my goodness, it was sooo slow.",Customer Service,NEGATIVE,False,,,
Café Joa,1,coffee,"Thirty minutes before 11 PM, our drinks were still not served, so I followed up.",Product Quality,NEGATIVE,False,,,
Hygge Coffee,1,coffee,"I ordered a coffee to take home, and when I opened it, it wasn't even full and it looked like they had put something in it mural paminta or ambut unsa na hugaw vanilla latte tapos Mao ng nawng!",Product Quality,NEGATIVE,False,,,
Barok Cafe & Resto,1,coffee,Then I think the staff needs to eat in the kitchen.,Customer Service,NEUTRAL,False,,,
ROOFTOP Café Bar,1,coffee,The staff are also not accommodating.,Customer Service,NEGATIVE,False,,,
Seattle's Best Coffee,1,coffee,I'm left wondering how is this level of ignorance possible given they work there everyday?,Facilities and Amenities,NEGATIVE,False,,,
HYGGE COFFEE 2,1,coffee,"The drinks arent good either, and the place is often noisy with loud students.",Product Quality,NEGATIVE,False,,,
STASH Coffee Co.,1,coffee,Rude barista.,Customer Service,NEGATIVE,False,,,
Barok Cafe and Resto,1,coffee,"first ever coworking space I went to, I still have to deposit 100 and need an ID, is it really expensive???",Price and Value,NEUTRAL,False,,,
Blugré Coffee,1,coffee,I can't taste.,Product Quality,NEUTRAL,False,,,
blank space coffee dvo,1,coffee,"Customer service is a big part of any business, and experiences like this leave a very negative impression.",Customer Service,NEGATIVE,False,,,
Dear Joe Frontera,1,coffee,Food is hard.,Product Quality,NEGATIVE,False,,,
Cafe Demitasse,1,coffee,Substandard food quality.,Product Quality,NEGATIVE,False,,,
"The Coffee Bar, Gaisano Mall of Toril",1,coffee,Blueberries on my wafles taste like expired jam.,Product Quality,NEGATIVE,False,,,
Paramount Coffee Crocodile Park Davao,1,coffee,No food here.,Product Quality,NEUTRAL,False,,,
Green Coffee - Marfori,2,coffee,"Unfortunately, the same could be said of all coffee shops in Davao.",Product Quality,NEUTRAL,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The food and the atmosphere was good.,Ambiance and Atmosphere,POSITIVE,False,,,
The Bloom Coffee & Start-Up Space,2,coffee,"1st take out, the coffee was wrong.",Product Quality,NEGATIVE,False,,,
Solace - Coffee Club,2,coffee,"If it makes it slightly better, the place is aesthetic.",Ambiance and Atmosphere,POSITIVE,False,,,
Mille Matcha - DGT,2,matcha,"Great matcha, probably one of the best in Davao.",Product Quality,POSITIVE,False,,,
Glasshouse Coffee,2,coffee,Good coffee.,Product Quality,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The service was disappointing during our visit with my friends.,Customer Service,NEGATIVE,False,,,
Café Joa,2,coffee,Great job on the cleanliness but food and service needs improvement.,Product Quality,NEGATIVE,False,,,
