place_name,latitude,longitude,rating,review_text,Shop_Type
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,3,"A highly functional workspace with plenty of outlets and comfortable seating, though the noise level and average coffee hold it back from perfection.If you are looking for a place to park your laptop, hit the textbooks, or crush a remote workday, this coffee shop hits the mark on logistics. It features spacious tables, incredibly comfortable chairs, and an abundance of accessible power outlets scattered throughout the space. The Wi-Fi is reliable and fast, which makes it a highly productive environment for students and professionals alike.However, the atmosphere can be a bit of a gamble. While it is designed for studying, it gets incredibly noisy during peak afternoon hours.",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,4,"Super chill cafe, music is not loud, people keep to themselves. Good for 2-4 size groups. Drinks are fine, the pastries are a bit pricey though. They have outlets and wifi available and they also accept credit card. Bathroom is outside though and you have to walk for a bit so if you’re alone, just ask the staff to watch over your things while you’re away.",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,3,"Unfortunately, the noise level was quite high during my visit. Loud conversations and phone calls from customers made it difficult to focus and enjoy the experience. A better balance of ambiance and volume would improve the overall atmosphere.",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,4,"Food and drinks did not disappoint, and it was reasonably priced. Service was excellent. Place was easily accessible, though you had to go out of the place to use the CR since it’s at the back. It was quiet when we went there cuz it was early morning, though I can imagine the place being noisy if there are people since there’s a lot of echo",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,5,Cozy café that’s super student and worker friendly. Their hot white mocha is my favorite ☕️,Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,1,"We ordered drinks and croissants, but unfortunately, our experience was disappointing. The server who assisted us (a small-built male staff member) appeared unwilling to serve us. His demeanor felt unwelcoming and somewhat discriminatory, as he did not greet us, smile, or show even basic courtesy throughout the interaction. As customers, we simply expect to be treated with respect and professionalism. However, during our visit, we felt uncomfortable and unwelcome. It seemed as though there was an underlying bias, which made the experience even more upsetting. We understand that everyone may have personal challenges or difficult days, but we sincerely hope that any personal concerns are not brought into the workplace—especially in a customer service setting. Every guest deserves equal treatment, courtesy, and a welcoming environment regardless of who they are. We are sharing this feedback in the hope that this matter can be addressed appropriately and that future customers will have a more positive and inclusive experience.",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,3,"The only 24hrs Cafe in buhangin area. When I got there, there were no other customers and staffs are cleaning. I though it was close. Ambiance. Good for working or studying. even though it is on a high way you won't really hear much noise from the outside. Like other cafeś, they play music and can sometimes be loud when you're in a meeting you can tell the staffs naman to turn the volume down. Staffs. Accommodating. Given that they've been awake all night they're energetic and ready to cater and pretty helpful. Food. 150-200 coffee is not expensive given that the cafe allows you to charge your device and gives you free wifi. It is a plus that they asked me if I wanted chocolate or cinnamon on my cappuccino (I hate cafes that put chocolate instead of cinnamon on cappuccino and won't even ask you if you want chocolate on them). Cappuccino is ""so so"" I actually cant feel the bitterness of the roasted coffee. Nachos is Php200 which is also mid range for its price. Serving is a lot. I wasn't able to finish it so I ask for a lid cover which they gladly provide. Over all. If you just want to work or study in a different setting than your home, well this is not a bad place to do so. I can't really recommend the food since I have tried tastier food for the same price. That sakura tree in the middle is cute 🤣",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,4,One more branch of this café easily spotted along the road…Hazelnut latte and Corned beef was simply a no-fuss breakfast… Brace yourself ‘coz the food was served in a box with a wooden spork. Restroom is found at the back so access to it means walking out the door and sprinting some meters more. Retrieve the key from the counter first. Space at the front to park. Shorter menu compared to their Ecoland branch which I was more used to. An option while in Buhangin.,Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,1,"Paid around 220 for a regular sized spanish latte with oatside (+40). Unfortunately, di lami. Unless you're staying inside the shop, masulit guro nimo ang 200+. Another overpriced ""aesthetic"" coffee shop.",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,5,Was looking for a good 24-hour cafe that serves matcha with oatmilk at 2 AM and found Deleachious Cafe. Highly recommend this cafe esp for studying/working. Price is also very reasonable and will rate their drinks 10/10!!,Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,3,"We had an insane experience here!!! They told us they had a new flavor on the menu, and asked if we wanted to try it. (Please keep in mind that we already told them our orders by the point they offered the new item.) We said 'sure,"" kase why not? We were assuming that was on the house. When the order came, they freaking replaced one of our orders with that new item??!! They really should have made it clearer when they were planning on doing that to us...",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,2,arrived & ordered at 8:22pm and waited for almost AN HOUR for my carbonara and hot americano! decided to follow up my order then they prepared it for 5mins (9:13pm - 9:18pm) only!! staff apologized. there were only 7 people in the cafe and all are enjoying their orders na. how can you forget an order for 1 person?? appalling.,Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,1,"I’m disappointed because we came to their shop expecting that they’re open, as it says on google that they’re open 24 hours, and their signage outside the shop says 24/7. But when we visited to dine, they were closed. We wasted our time and effort. I hope they could update their service hours here on google, so no one would experience this in the future especially for the commuters.",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,4,Good food and ambiance. Staffs are accomodating.,Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,5,"The Spanish latte and cookies & cream frappe did not disappoint! The prices are reasonable, and the staff is friendly and welcoming. I think the space is smaller than their Ecoland branch, but still has a cozy atmosphere. I visited during the soft opening, so there was no Wi-Fi yet and some ongoing construction, but overall, it was a pleasant experience.",Coffee
Daleachious Cafe - Buhangin Branch,7.1019671,125.6121156,2,Customer service are good. But food was worst. The food is not worth it for its price. pastry are 190 pesos but the Taste mas masarap pa sa panadero. Very dry ng dough and matigas. Taste like not freshly made. Utensils are disposable which doesn't compliment the vibe of the ambiance.,Coffee
