place_name,latitude,longitude,rating,review_text,Shop_Type
Solace - Coffee Club,7.0198787,125.5029746,4,"The atmosphere is best here. The food is good, but not for it's price. Most probably because it's a cafe. The one on my pictures totalled 1100. It's self service for the drinks. There are also cats in the premise. Just chilling. Overall good place to boost your social climbing status lol",Coffee
Solace - Coffee Club,7.0198787,125.5029746,3,"The place is esthetically pleasing, but the hot food option is meh. Price vs. quality of food is disappointing. I order a 220 pesos dish and its just came with 3 pieces of small pieces of meat, tomatoes and a huge portion of shredded lettuce all of that in a soft shell taco, that thing did not look like a 200pesos dish. Also, the chicken Alfredo is super thick and it is stiff like it was left on the counter for a while before it was served. Don't get me started with the bread which look sad and stale as it can get, one bite and it all crumbles. Next, the wait time is horrendously long just for 2 dish it took 1 1/2hrs like you can assemble that in less than 30. The owner and stakeholders should re-assess their menu as most of their food choices is unavailable.",Coffee
Solace - Coffee Club,7.0198787,125.5029746,5,"I'm from Japan and had the chance to visit Davao during my vacation. I found this café and was really impressed. The food was delicious, with generous portions and great flavors, and the coffee was smooth, rich, and perfectly made. The staff were kind and attentive, and the cozy atmosphere made it a great place to relax. I truly enjoyed my visit and would gladly recommend this café to anyone visiting Davao. I hope to come back again someday!",Coffee
Solace - Coffee Club,7.0198787,125.5029746,5,"Solace will always be my favorite cafe in the south part of Davao. It's a cozy spot with an aesthetic atmosphere, and their staff is super friendly. Having worked in the food industry myself, I completely understand that sometimes certain items on the menu might be unavailable, but that doesn't take away from how great their food is! I've visited more times than I can count.",Coffee
Solace - Coffee Club,7.0198787,125.5029746,2,"I have visited your establishment twice, and unfortunately, both experiences were disappointing. During my first visit, I ordered a matcha drink, but the quality was below expectations. The taste did not reflect authentic matcha, and it seemed comparable to lower-cost alternatives that are more enjoyable. On my second visit, I encountered issues with customer service. The staff appeared unfriendly, and the use of a QR code system was inconvenient, especially for customers who are in a hurry. Additionally, the interaction with the staff felt unaccommodating. While the food quality showed some improvement, the serving size remained relatively small for its value. I hope you can take this feedback into consideration. Your place has great aesthetic appeal, and it would be a shame not to match it with equally good service and product quality.",Coffee
Solace - Coffee Club,7.0198787,125.5029746,5,One of my favorites! been here for two times now and they are really doing their best to upgrade. Food is good esp pasta. I also love their matcha but coffee is way too strong—so I really don't recommend it. The ambiance is just perfect. Half a year in their business and their impact is just awesome!🤍,Coffee
Solace - Coffee Club,7.0198787,125.5029746,4,This is a nice upgrade for Toril. A sweet spot for cafe and meals. The location is also good for the southside people. Go support this pretty cafe they got good vibes. ❤️🫶🏻,Coffee
Solace - Coffee Club,7.0198787,125.5029746,4,"The place is suitable for focused work if you dine inside the cafe. The outside however is too noisy it has a lot of motorcycle sound and when I was there, there were people singing Karaoke but if that doesn't bother you, the cafe is really good place to hang out, enjoy coffee, and chill. Two drinks I've ordered, blueberry soda which tastes really good and refreshing. If they consider to lessen the amount of blueberry syrup, it would ve perfect. The second one is salted caramel latte - this one I was surprised that the taste was really good and the price is just perfect. I am inviting my friends over to try soon.",Coffee
Solace - Coffee Club,7.0198787,125.5029746,5,"Solace truly lives up to its name, offering comfort and consolation. That was exactly what I felt during my first visit with my family. We enjoyed their delicious food, shared laughter, and felt at ease throughout our stay. Time seems to pass unnoticed because of the wonderful ambience and welcoming atmosphere. Solace is indeed a place where comfort meets cherished memories!",Coffee
Solace - Coffee Club,7.0198787,125.5029746,3,"The place is good when we were there recently. Good thing there was a available seat for us. Their menu is digital, just scan their qr code at the counter. The coffee I ordered is good, not bad but not that exemplary. Staff were friendly. Like their outdoor seats. Hope i can try other menu items soon.",Coffee
Solace - Coffee Club,7.0198787,125.5029746,2,"I left the restaurant feeling hungry despite spending a significant amount of money. I expected much more for the cost and based on some reviews. To my surprise, their spareribs were tough and tastes blandly. Their matcha also tastes like malunggay, it has bitter aftertaste. You can really tell that it's not a high quality or high grade matcha powder given that their matcha series are a bit pricey. Their staff were not accommodating and welcoming as well. One good thing tho, there's a free parking space but not yet cemented. Another one for the 'never again' list of cafes, just aesthetics but lacks flavor.",Coffee
