place_name,latitude,longitude,rating,review_text,Shop_Type
Dear Joe Frontera,7.1135672,125.594924,3,"I really loved the overall setup, aesthetic, and cleanliness of this place. The environment makes it a great spot to sit down and unwind. That being said, the food was a bit hit-or-miss. It fills you up and isn't bad by any means, but it definitely needs a bit more seasoning and personality to match how great the venue is. It's worth a visit for the location alone, but there is room for improvement in the kitchen.",Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"Dear Joe Coffee Shop is a hidden paradise! The lush green surroundings make you feel like you're in the middle of a paradise, offering a serene and refreshing ambiance. While the prices are on the higher side, every sip and bite is worth it—everything tastes amazing, from the coffee to the food. The beautiful setting and quality experience make it a perfect spot for a relaxing escape!",Coffee
Dear Joe Frontera,7.1135672,125.594924,4,"Frequented this place and I must say the interior really gets to you —- the cleanliness, furniture, greenery, and music all just came together exuding a homely atmosphere. Garlic noodles with cajun shrimp and mint mocha frappe were savory. The Vietnamese latte, chicken toast, truffle cream chips were quite filling on a lazy and drizzling brunch. Rates were a bit on the higher side especially with the food. But good thing the drinks were at par with the other coffee shops. Some plates with meager serving sizes, some even more generous. Parking slots at the sides. Nice ambience, kind staff, and hardly people in the mornings. A place you'd like to visit again and again. And of course bring some friends too.",Coffee
Dear Joe Frontera,7.1135672,125.594924,5,The atmosphere is really great! I can spend hours here reading a book or just talking to a friend over a good drink and food. Their chicken pie is an absolute must-try!,Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"I adore this area so much! Though a little costly, the food is excellent. It's the perfect place to host meet ups or spend time with family (with older kids). There is plenty of space for parking in the restaurant's back.",Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"I really love the ambience, with classy and natural interiors. I ordered Hazelnut Frappe 10/10 for me, and their Chicken Taco Salad is tasty 😋",Coffee
Dear Joe Frontera,7.1135672,125.594924,4,Very good place to hang and chill. Enjoyed spending some quiet time here both alone and with company. Yuzu Raspberry and Lemon Blueberry cake are sooooo good! Double beef bolognese pasta was okay but loved that the serving can be enough for two people if you're not too hungry. It's pretty pricey but I love the ambiance enough to keep me going back,Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"The shop offered a cozy, inviting atmosphere with comfortable seating and soft lighting. Awesome plants! 🌱🪴🎋 The shop employs friendly and helpful staff🤩⭐️, making us feel welcome. Personally, I preferred the pastry over coffee.",Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"Ambiance was good. It was a refreshing cool cafe idea. Nice ang environment kay they integrated a warm woody feel with industrial modern look. Naa pod plants which make the atmosphere feel like you are in a jungle or close to nature. However, makacomment ko sa price. Kay ang artisan tea makapalit nag 4 cups sa regular coffee shops. Though it was good, I cant complain sa quality. But for occasional visits, it's definitely a place to chill and hangout.",Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"we love their creamy carbonara. i also love their quesadilla except for the sauces. we also ordered the almond crusted fish and shrimp (i expected the shrimp to be sauteed but as you can see from the video it was just a commercialized steamed shrimp, the almond was just a small amount mixed in the flour); and the black pepper beef which i preferred more than the fish and shrimp. their matcha latte was more on the milky sweet side which i preferred less. i also like their vietnamese latte. will surely comeback to try their other pasta and pizza.",Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"Great atmosphere, a bit pricey but I did enjoyed my time there. Coffee is really good. Not to many vegetarian options.",Coffee
Dear Joe Frontera,7.1135672,125.594924,4,"📍 Dear Joe Frontera, M. Garcia Road, Buhangin The first letter-writing cafe in the Philippines is now in Davao City! 💌📮They have a lot of options for rice meals, pasta, sandwiches, pizzas, and hot and cold drinks. ♦️ Hot Americano Tall - Php 165 ♦️ Hot Chocolate Tall - Php 180 ♦️ Iced Matcha Latte Grande - Php 215 ♦️ Tuna Melt Sandwich - Php 270",Coffee
Dear Joe Frontera,7.1135672,125.594924,4,"Dear Joe serves a pretty good cup of Joe. We ordered their Americano and Hazelnut Frappe. These were great with the Chicken Fajita appetizers. The place itself has chill vibes. The wifi they provide is snail-paced, so better bring your own pocket wifi.",Coffee
Dear Joe Frontera,7.1135672,125.594924,4,"The items in the menu are very expensive. But I like how they talk about and tell their customers who is ""Joe"". Also, you can write what you feel and put them inside the Letters to Joe box.",Coffee
Dear Joe Frontera,7.1135672,125.594924,4,"Loved the place it's so cozy, the food and coffee is great. Also i like the decorations inside the establishment specially the wall paintings.",Coffee
Dear Joe Frontera,7.1135672,125.594924,4,"The place is very nice with some wall beautiful murals. The place feels warm, cozy and inviting. You can write some love letters and seal it with wax. Very interesting concept. Coffee tasted good as well as the food. The service was a bit off though. The place was attended by two staff. A well uniformed but aloof lady and a guy in casual clothes with the left of his pants raised to the knee. Quite a strange duo.",Coffee
Dear Joe Frontera,7.1135672,125.594924,5,"I always enjoy my time at dear joe! Such a unique ambiance as well perfect if you're looking for a working space. I love their fruit shakes too, the mangoes they use are always fresh and when it comes to the food their truffle sandwich is a must try!",Coffee
Dear Joe Frontera,7.1135672,125.594924,3,"Smoked BBQ CHOPS Tuff. The meat was not hot. I believe precooked, frozen or refridgerated then microwaved. Was a let down. Had pizza before not crazy for, swore would not return but here i was again learning my lesson. Had watermelon which was to be 100% juice but was watered down with ice and some sugar. Disappointed 😞 for sure. Didnt drink it.",Coffee
Dear Joe Frontera,7.1135672,125.594924,3,Nice interior but slow service and expensive food and drinks. They advertise their letter-writing but there were no papers and writing implements for writing and sending letters.,Coffee
Dear Joe Frontera,7.1135672,125.594924,3,"The place is huge and it offers a lot of meal options from simple Filipino snacks to Italian-inspired pastas. Their espresso doesn't stand out much but the ambience is good and the crew are hospitable. However, the coffee experience for dine-in customers could be better if the coffee and even the tea will be served NOT in a paper cup. The paper cup ruins the over all experience and doesn't justify the premium price that the customers payed for their tea and coffee. Please heed this request.",Coffee
