place_name,latitude,longitude,rating,review_text
"Barok Cafe and Resto",7.0574815,125.4877513,2,"I visited mainly because of the co-working space. The food was okay, but I had to wait in line for a while since only one counter was open. I paid for my meal, coffee, and the hourly co-working fee (around ₱35, if I remember correctly), …"
"Barok Cafe and Resto",7.0574815,125.4877513,3,"I was looking for a hangout spot early in the morning and was glad to find Barok Cafe, which is open 24 hours. The place is spacious and has a comfortable setup with wifi, power sockets, and areas suitable for both dining and working. …"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"I love the place's vibe, pleasing to eyes, windows were enough to get sunlight, although some areas doesn't reach the aircondition so we have to move from one seat to another. We have some orders not being available, but goodthing the …"
"Barok Cafe and Resto",7.0574815,125.4877513,3,"I recently visited Barok Café and tried their Pamahaw Latte. Unfortunately, it wasn’t my favorite coffee experience in Davao. The flavor just didn’t suit my personal taste — though it might simply not be the kind of drink for me. …"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"I had a great time here! The space is perfectly sized for group hangouts with friends—never felt cramped. What really stands out is the menu; it’s incredibly diverse with options that work for breakfast, lunch, or dinner. Highly recommended!"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Our first time to this location of Barok Cafe and Resto was good as we expected. We have been to their other location many times since we live close to it. The place was clean even though they were busy on a Thursday evening when we went. …"
"Barok Cafe and Resto",7.0574815,125.4877513,2,"I recently tried your Blueberry Cheesecake, but I was disappointed with the taste. The base didn’t taste like cheesecake—it seemed more like it had gelatin or resembled an egg tart. The blueberry topping was also too watery. …"
"Barok Cafe and Resto",7.0574815,125.4877513,2,"Parking here is limited, though they do offer additional paid parking nearby. On the night we visited, they seemed to be out of everything we ordered. We tried to be accommodating and changed our order several times, but to my surprise, …"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Big thanks to the staff and crew of Barok Cafe & Resto! We truly appreciate your warm assistance, best accommodation, and the helpful advice you gave to make sure our event went smoothly. You made us feel well taken care of, and we’re grateful for all your effort."
"Barok Cafe and Resto",7.0574815,125.4877513,4,"Spacious table set ups ideal for large group dining. Order serving time takes a bit long and is a bit pricey. 1 star less for parking unavailability. Consumes time to look for a parking area."
"Barok Cafe and Resto",7.0574815,125.4877513,5,"I had a wonderful experience at Barok Cafe & Resto. The food is impressive, especially considering the reasonable prices. I particularly enjoyed the pasta, chicken wings, and fries—each dish was flavorful and satisfying. Their coffee and …"
"Barok Cafe and Resto",7.0574815,125.4877513,2,"Barok Café & Resto is a mix of coffee shop, restaurant and events place. There’s plenty of food and drinks in their menu since they are open from sun up to sun down, a real 24-hour store. …"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"I went to Barok Café & Resto and the ambiance is amazing! They even have a co-working space, perfect for students and VAs — truly the best place to study and work. …"
"Barok Cafe and Resto",7.0574815,125.4877513,3,"Me and my friends only had coffee there. And they were super sweet for our liking. As far as I can remember we ordered iced mocha, americano, and Spanish latte. …"
"Barok Cafe and Resto",7.0574815,125.4877513,4,"The place is very pleasing and has a nice, cozy atmosphere. The staff were friendly and accommodating, which made the visit enjoyable. Unfortunately, they weren’t accepting online payments at the time due to some system issues, but they …"
"Barok Cafe and Resto",7.0574815,125.4877513,4,"Food was great and the atmosphere was nice! Just a small setback with the service... They don’t take orders by table, which …"
"Barok Cafe and Resto",7.0574815,125.4877513,3,"Went there during the soft opening. The place was a little bit chaotic. Some staff were just standing around, looking like they didn’t know what to do. They served our drinks in plastic cups while everyone else had glasses — we asked why, …"
"Barok Cafe and Resto",7.0574815,125.4877513,2,"The place is nice but they forgot our order🥲 lagpas 1 hour na when nag follow up kame and they literally don’t have our number sa kitchen. Then they reasoned out na naubos ingredients so we have to choose another dish. We end up leaving and not finishing our food because of disappointment. Imagine it di kame nag follow up sa order, gosh. …"
"Barok Cafe and Resto",7.0574815,125.4877513,3,"Strategically found within the vicinity encircled with office buildings. Fit for group gatherings as there are also function rooms and some parking. Music was too loud and could have been taken down a few notches. Chicken mushroom steak and …"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Staff: Some of the staff aren’t doing much, just using their phones. Might as well help around serving food. They should also probably only apply self service for …"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"I only went here because Totsy’s was still closed one morning. I’ve actually eaten here twice already— my god, it’s still the same, nothing changed. The place is really hot. The food is very mediocre, and the pasta serving is way too small, not worth the price at all. The second time I came, there were flies that would actually land on the table. The restroom smelled really bad. The power outlets, although not all of them, were very loose and couldn’t even hold a charger. I definitely won’t be coming back here."
"Barok Cafe and Resto",7.0574815,125.4877513,1,"the aglio olio pasta i ordered is really not worth it for its price. so bland price like 70pesos and the garlic bread? you can discribe it eating like a rock so hard to eat not edible :("
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Love my dinner at Barok Premium and Resto . All the staff very accommodating and kind. Highly recommended 😊🍔🍕🍽🍰 …"
"Barok Cafe and Resto",7.0574815,125.4877513,4,"My girl and I went and man it was dirty like why?? We had to call the waiter to clean it up. But portion is good. Service is questionable. I would go back to the Phillipines to see if they still leave a mess. Thanks though!"
"Barok Cafe and Resto",7.0574815,125.4877513,4,"If you’re craving hearty Filipino comfort food and a cozy dining vibe, Barok Cafe and Resto is the place to go! 💙 From classic dishes to flavorful specialties, every meal is satisfying and made with care. 🍲🥩 …"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"I'm giving this restaurant a -10000/10 and that's being generous. My experience was thoroughly disappointing.Firstly, the service was excruciatingly slow. We waited a full hour for our food, and when it finally arrived, it was cold. There's …"
"Barok Cafe and Resto",7.0574815,125.4877513,3,"Food- Went here twice may langaw inside 😔 shrimp gambas and bangus sisig was good but i do not recommend their chicken. Fried chicken wings was so so their adobo was made out of chicken wings. Self service restaurant and mabagal ang pila sa …"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Barok Café & Resto did not disappoint! 😍 Great vibes, friendly staff, spacious place, and food that’s both delicious & affordable. Perfect spot to chill, study, or bond with friends! 🍴☕✨” …"
"Barok Cafe and Resto",7.0574815,125.4877513,2,"I am writing to express my disappointment with the poor service I received at your restaurant on September 19, 2025 (Thursday) at 7.50 am. As a regular customer who has usually enjoyed dining at The Barok Café & Resto, I was surprised by …"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Food was mediocre. Pizza was even not cooked properly. There's also the staff na very unwelcoming (except yung isang kuya na very friendly), the cashier was even paying more attention sa cellphone nya than assisting and getting our orders. …"
"Barok Cafe and Resto",7.0574815,125.4877513,4,"Barok Cafe & Resto is a great spot for those seeking hearty Filipino meals in a comfortable environment. Whether you're a local or a traveler, it's a place worth checking out. ✅ Ambiance: Offers a relaxed and casual setting, suitable for both solo diners and groups ✅ Cuisine: Serves a variety of affordable and delicious Filipino dishes, catering to local tastes ✅ Beverages: Offers a selection of coffee and other beverages to complement meals"
"Barok Cafe and Resto",7.0574815,125.4877513,4,"The system of their co-working space is weird. You have to give a ₱100 cash deposit, and youre not allowed to pay for one hour, it has to be a minimum of 2 hours. They dont have three-pronged outlets. But their service is good and the servers are very friendly and accommodating. The system is just very money-grabbing vibes."
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Awful service. Requested for milk on the side for my brewed as I usually do in other coffee shops. Staff asked me to pay for it claiming that if I wanted milk, I should’ve ordered a latte. Absurd. Since I didn’t want this to ruin my day, I …"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"We had a very disappointing experience at this restaurant. We waited for over an hour for our food, only to find out that they hadn’t even started cooking our order. What made it worse was how the staff handled the situation they acted like …"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"All kind of food is overpriced ! First time eating that expensive in the Philippines and I was still hungry . Cards are not accepted and they didn't even give receipt . So the prices are extremely high for a place not getting taxed . I …"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"This place is huge and the best part it is open 24/7"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Their Customer Service is Excellent! 👌👍 …"
"Barok Cafe and Resto",7.0574815,125.4877513,2,"For being a co working space. It's really slow internet. 4mpbs"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Nice place to stay with friends food is good and cozy place"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Please be advised: Avoid visiting this restaurant between 9:00 AM and 4:00 PM. It gets extremely hot during those hours due to poor ventilation and insufficient air conditioning. …"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Their Customer Service is Excellent! 👌👍"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Bad customer service, rude service especially the supervisor. They only focus on the aesthetics and not the services. The Cr has no water and many urine splashes around the toilet bowl. Very slow customer service. Never again, Not recommended!!!!"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"The place is very nice and cosy, and the staff are very accommodating one of the best places to have dinner because of the ambience, but sadly the food i ordered was tasteless."
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Bajada branch is really disappointing. We have been waiting for more than 30minutes and the crew just told us that they forget our order."
"Barok Cafe and Resto",7.0574815,125.4877513,1,"WE WAITED MORE THAN AN HOUR! MADALING ARAW PA TO HA! HOW MUCH MORE IF DAYTIME."
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Very bad service. Took them an hour before food was served. Food was so so."
"Barok Cafe and Resto",7.0574815,125.4877513,3,"the wifi too slow and hard to log in"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Fast wifi!"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"This place is so nice and the food was good"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Poor service!"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Poor customer service"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Very bad service. Took them an hour before food was served. Food was so so."
"Barok Cafe and Resto",7.0574815,125.4877513,3,"the wifi too slow and hard to log in"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"Fast wifi!"
"Barok Cafe and Resto",7.0574815,125.4877513,5,"This place is so nice and the food was good"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Poor service!"
"Barok Cafe and Resto",7.0574815,125.4877513,1,"Poor customer service"
"Barok Cafe and Resto",7.0574815,125.4877513,3,"A little pricy."
"Barok Cafe and Resto",7.0574815,125.4877513,4,""
