place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,annotator_1,annotator_2,annotator_3,annotator_4,ground_truth,vote_breakdown,is_tie
Seattle's Best Coffee,1,coffee,Food is expensive too.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
HYGGE COFFEE 2,1,coffee,"we had to wait long for our food for about an hour, or even more at times.",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Green Coffee - Diversion,1,coffee,Even the place is great and the food is good but the customer service is worst everything will fall down!,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Annipie Airport View,1,coffee,"The service at Annipies is poor, they serve instant coffee instead of espresso, and overcharge wherever they think that they can get away with it.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Dear Joe Frontera,1,coffee,You can drink iced coffee made with tap water at an expensive price.,Price and Value,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Evermore Cafe Davao,1,coffee,"But the service, my goodness, it was sooo slow.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Café Joa,1,coffee,"Thirty minutes before 11 PM, our drinks were still not served, so I followed up.",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,"NEGATIVE:2, NEUTRAL:2",True
Hygge Coffee,1,coffee,"I ordered a coffee to take home, and when I opened it, it wasn't even full and it looked like they had put something in it mural paminta or ambut unsa na hugaw vanilla latte tapos Mao ng nawng!",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Barok Cafe & Resto,1,coffee,Then I think the staff needs to eat in the kitchen.,Customer Service,NEUTRAL,False,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"NEUTRAL:3, NEGATIVE:1",False
ROOFTOP Café Bar,1,coffee,The staff are also not accommodating.,Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Seattle's Best Coffee,1,coffee,I'm left wondering how is this level of ignorance possible given they work there everyday?,Facilities and Amenities,NEGATIVE,False,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
HYGGE COFFEE 2,1,coffee,"The drinks arent good either, and the place is often noisy with loud students.",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
STASH Coffee Co.,1,coffee,Rude barista.,Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Barok Cafe and Resto,1,coffee,"first ever coworking space I went to, I still have to deposit 100 and need an ID, is it really expensive???",Price and Value,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL:4,False
Blugré Coffee,1,coffee,I can't taste.,Product Quality,NEUTRAL,False,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"NEUTRAL:3, NEGATIVE:1",False
blank space coffee dvo,1,coffee,"Customer service is a big part of any business, and experiences like this leave a very negative impression.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Dear Joe Frontera,1,coffee,Food is hard.,Product Quality,NEGATIVE,False,NEGATIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Cafe Demitasse,1,coffee,Substandard food quality.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
"The Coffee Bar, Gaisano Mall of Toril",1,coffee,Blueberries on my wafles taste like expired jam.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Paramount Coffee Crocodile Park Davao,1,coffee,No food here.,Product Quality,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL:4,False
Green Coffee - Marfori,2,coffee,"Unfortunately, the same could be said of all coffee shops in Davao.",Product Quality,NEUTRAL,False,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"NEUTRAL:3, NEGATIVE:1",False
