place_name,latitude,longitude,rating,review_text,Shop_Type
STASH Coffee Co.,7.0849971,125.5999339,5,"Stash is one of my favorite cafés whenever I'm in Davao. It may be the only place where I've had a Spanish Latte that tastes this good. Their breakfast plate is also my usual order—hefty, satisfying, and well worth the price.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"What a terrific find… A quaint, elegantly, but modernly designed cafe that delivers on task and quality. Staff were wonderful, this AirConditioned and quiet coffee shop is certainly worth a visit.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"One of the better cafes in Davao City amongst the saturation of the genre. From the get go the atmosphere is comfy yet lively. Bright, lots of ample seating, and good music selection. Based on the other customers, the cafe appeals to the older demographic, think 30-50s there for work/meetings. The staff are kind and well versed in their occupational etiquette. Tables already have bottles of water and tissues before you sit down. The seating themselves are comfortable, especially the leather padded booths. Air conditioning could be stronger though. We ordered the Cookies and Cream Milkshake and Mocha Java Latte. Both were yummy. The milkshake had a bit too much chocolate powder for my tastes but it was good regardless. Surprisingly, the latte came with chocolate ice cream which was unexpected. I can't give a full opinion on the food since we did not order any, so the drinks are a solid 7.5-8/10. STASH knows the devil is in the details and they hit the mark. The large bathroom is clean, has a bidet, and a baby changing station. Furniture is constructed from good materials and so is their decorations for the Christmas season. Final Verdict: 8.5/10",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"STASH Coffee is located on the second floor of a business building. Might be hard to see from the street, but it is there just as Google map shows. The place was clean, nice ambiance, plenty of available seating and even a couple of tables with chairs in a little nook next to the elevator. I was greeted by the friendly staff and was brought a menu. After looking over the menu I decided on the Black Sparkle (iced espresso and tonic water) and the Big Breakfast. The Big Breakfast was really big so it is well named. The sausage was well cooked, juicy, and just enough spice so it didn't need any hot sauce. The eggs paired well with the sausage, mushrooms and the bread. Great combo! The coffee was bold and smooth and overall very refreshing. A hot coffee might have been better with the Big Breakfast, but I'm not complaining. Over a great experience! The free WiFi was good and the CR was clean.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"We loved their cream pasta, flat white, and fresh apple tea. Place just feels tight though.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"First floor, amazing ambience, and super attentive staff. Always smiling, and cheerful. The coffee was great, big breakfast was well worth it. We even had the pesto pasta and a Filipino dish and it was all 100% amazing.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"One of the best places to dine when you are in downtown. Everything was great, from the food to the staff and the over-all ambience of the place. It was clean, cold, well-lit, played pop music in the background, and has an all-gender rest room. The only downside is the limited parking. All in all, it's a great place to dine and get caffeinated.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"Dining at Stash is always such a treat! ☕️🍴 Their Spanish Latte is out of this world and the Matcha Latte is equally delicious. We tried the Creamy Bacon Mushroom with Truffle Oil and the Chicken Pesto Pasta and both were great. 📍Stash is located on the second floor, with both stairs and an elevator available for access. When you enter the building, you'll be greeted by a security guard, so make sure to greet him in return. 👨🏻 🍳 The staff greeted us warmly as soon as we walked in and promptly gave us menus after we were seated. 💵 Just a heads up, they only take Gcash and cash payments. I highly recommend giving Stash a try!",Coffee
STASH Coffee Co.,7.0849971,125.5999339,4,"A friend recommended Stash Coffee, stating it was the best in the city, and she was right. The lemonade and iced tea were exceptional—refreshing with a hint of mint, and served like cocktails, all for a reasonable price of 110 pesos each. They were indeed a perfect remedy for the city's humidity. I also enjoyed their beef tapa. As a balikbayan on holiday, I missed the classic Filipino breakfast, and their beef tapa offered a perfect balance of sweetness, saltiness, and garlic flavour. I appreciated that it was paired with garlic-fried rice and a sunny-side-up egg; it brought back fond memories of home. One area where Stash Coffee could improve is its Pulled Pork Sandwich. While it was flavorful, it was served in large slices, which made it difficult to chew. They might consider shredding the pork to make it easier for customers to enjoy.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,4,"It was not easy locating this building. (I still do not know the name of the building). Best to be here before 12 noon. Orders are taken when you are seated. Getting the Pesto Chicken and cheese, Truffle fries and Fresh Lemonade was a good choice for late brunch….Modest prices, nice staff, and clean place. Be prepared to pay using GCash…Limited parking for the whole building. Don't be surprised if another vehicle is blocking yours upon leaving….I laud the building guard for being alert and attentive…",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"I'm glad I had chanced upon this coffee spot when I visited Davao. Its closed to USEP and Victoria Plaza. They have a parking space and manned by security guards which is a plus for safety. The cafe had decent space and still have lovely Christmas decors. I love the industrial feel and theme of this coffee place. I asked for reco and the barista recommended their house special, Spanish Latte. I expected it to be sweet but surprsingly wasn't which is good. I prefer less sugar and this latte was perfect. It had subtle taste of mocha and still strong for the espresso kick. I finish it after 5 pages of reading my book. I was the only customer in the place, and I want to stay but longer to finish what I'm reading and got another coffee, this time cafe americano. I can tell they have single origin coffee and was right when the barista told me that beand was from Burundi which is notably for clean, delicate and fruity flavor. I did totally enjoy every sip of it. Both staffs are friendly and I say well trained esp the lady barista. She knows her craft well. Too bad, they don't have any food offerings when I visit since it was still after NY. Another reason for a next visit.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"Great spot for breakfast or coffee! My husband loved their split-shot espresso (like an espresso flight) and their big meal breakfast hotdog. I had the matcha latte and truffle bacon pasta—pasta was a bit salty for me, but everything else was flavorful. The place has a cozy vibe, and the staff are always friendly and attentive. Stash really lives up to the standards you'd expect from a Purge-owned cafe!",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"The coffee and food were great. However, the place was a bit hot, and it seemed like the AC wasn't working properly, which made it a little uncomfortable. Service also took a bit longer than expected, but overall, it was still a good experience. Hopefully, they can improve the cooling and speed up service next time.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"Stash is owned by the same people behind Purge Coffee Roasters in Tulip Dr. Both brew the best coffees in the city. Here are my personal favorites: 1. Mocha Lava 2. Honey Lemon Tea 3. Spanish Latte 4. Matcha Latte Mocha Lava ☕️+🍨 became an instant favorite of mine from Stash and Purge. Espresso shot on ice then topped with chocolate ice cream. I usually prefer bitter-sweet coffee and the mocha lava, in particular, perfectly matched my taste. White Peak is also my favorite but for takeaway. Stash and Purge sell it in bottles. It's milky, but the caffeine remains strong. From experience, the buzz lasts for 5-6 hours. It's a must-buy. Honey Lemon Tea 🍯🍋 is always a good idea when I feel like skipping coffee. Mint leaves are added; thus, it gives off a cooling sensation even when the drink is hot. Sweet. A little kick of sourness. Minty. It's a therapeutic drink for me. They also have cakes and pastries on display although subject to availability. I had a slice of carrot cake on my very first visit and it was delightful. Pesto pasta from Stash totally clicked with my tastebuds. The pesto sauce and chicken meat were generous. Di tinipid. Sakto lang ang dami ng parmesan cheese. Overall, it was delicious and flavorful. The staffs were fun to look at. They all got along together. Moreover, they were courteous and well-trained. From time to time, they checked on the customers. Stash has a peaceful ambiance. Their regular customers usually come to order coffee and do work. Some hold small business meetings. Others spend their time to study. But Stash is also family-friendly. They got high chairs for toddlers. Stash has good parking space and tidy comfort room. Plus, dili boring ilang menu especially their drinks. They have other nice options for those who want to skip or don't drink coffee. 🙌🏻⭐️",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"Because #Covid happened, many small establishments were forced to close and cease operations. It was so refreshing to discover an establishment that recently opened and continued to operate. Stash Coffee Co. is your newest coffee destination to enjoy some of the best Davao coffee or find Purge Coffee's signature White Peak and even a drink or two from their off the menu specials. The baristas are very friendly and the service is excellent.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"Good clean place. clean restroom. Good audio system in the cafe. Although it's not the quiet cafe. They have fast wifi too. Food is good. Though some may argue, but I think the price is justified. Apparently also famous for their good coffee though I'm not a credible judge for that. I enjoyed the experience. It's a good place to meet with friends and gave good food.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"As always, food is good!! Their mushroom pasta's our favorite go to here. Also, white peak is one thing you don't miss when visiting here!",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,Food is impeccable. Very consistent. Coffee is great. Modern ambiance and super cozy. It's no wonder I keep going back.,Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,"Quiet, cozy cafe. Nice menu selection of coffee, tea, food, and even some cocktails. Nice teal decor. Incredibly welcoming staff. A great place to study (or chat) on a Saturday morning.",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,My go-to has always been this resto whenever I have a quick errand in downtown. Food & drink always hit the spot for my cravings!,Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,Great food! The french fries and affogatos were excellent! Cant wait to try more on the menu which looks divine.,Coffee
STASH Coffee Co.,7.0849971,125.5999339,4,Coffee is great. The only problem I had with the place is that the airconditioning is awkwardly placed in front of the table which makes some areas uncomfortable to sit in and makes food or hot drinks quick to cool. Quite a minor issue which affects the coffee experience. Overall coffee is up to par.,Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,Their food and drinks are quite pricy but they are delicious. I love their truffle fries and hot matcha latte. Staff are also friendly and accomodating. This is a good place to chill because place has a quiet and relaxing ambience,Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,Best coffee in Davao. The dishes are fantastic. Really enjoyed the heavy breakfast and French toast. Salads and pastas are good choices as well.,Coffee
STASH Coffee Co.,7.0849971,125.5999339,4,"ordered a couple of cocktails, coffee based drinks, their lemonade and truffle fries. everything was good. i wish they have more pica pica options 😅",Coffee
STASH Coffee Co.,7.0849971,125.5999339,5,Always a fave of mine and my sibs ❤️😂 They have a combo na coffee + cake for ~200 (or 220php?) which is super sulit! Menu faves: 🥕 carrot cake — just the right size and sweetness 🍟 truffle fries — fries + truffle + cheese? 'Nuff said! ☕️ iced spanish latte — i tried the white peak too but this is my go-to drink lol 🍝 chicken mushroom pasta,Coffee
