shop_type,sentence,TargetAspect,sentiment
coffee,"Saba kaayo ang mga barista mag chika, dungog sa tibook shop.",Ambiance and Atmosphere,
coffee,"Masyadong dikit-dikit ang tables, zero privacy jud kung mag tabi.",Ambiance and Atmosphere,
coffee,"Even if you don't say good morning or excuse me, you're just being polite KY you don't want Saba going to KTV.",Ambiance and Atmosphere,
coffee,"Puro aesthetic, walay hangin. Mag mantika gyud imong face.",Ambiance and Atmosphere,
coffee,so i ate my pasta and just reveled at the comfortable vibe of the coffee shop whilst glancing at my korean tele novela.,Ambiance and Atmosphere,
coffee,"Annipie sits right in the middle of the mall, making it a cozy and convenient spot to rest and chill after a long day of malling—something we actually don't have much of in Manila, so we decided to try some of their interesting menu items.",Ambiance and Atmosphere,
coffee,Place was noisy too and NOT conducive for studying and/or working.,Ambiance and Atmosphere,
coffee,Rustic ambiance.,Ambiance and Atmosphere,
coffee,The cafe music is was so loud it seems like the baristas are in their house.,Ambiance and Atmosphere,
coffee,Place is very instagrammable!,Ambiance and Atmosphere,
coffee,The place has a good ambiance.,Ambiance and Atmosphere,
coffee,"Puro hype lang, alimuot unya dili conducive mag work.",Ambiance and Atmosphere,
coffee,They play club music sa coffee shop. Bati kaayo ug vibe.,Ambiance and Atmosphere,
coffee,"Gahi kaayo ilang mga bangko, dili madalag dugay na lingkod.",Ambiance and Atmosphere,
matcha,"Di nako bet ang vibe, grabe ka banha and disorganized.",Ambiance and Atmosphere,
coffee,The atmosphere is really great.,Ambiance and Atmosphere,
matcha,"Saba kaayo maghugas og plato mga staff, madunggan sa area.",Ambiance and Atmosphere,
coffee,Atmosphere (2/5) the chairs are not very aesthetic.,Ambiance and Atmosphere,
coffee,"Really Hoping in 2023, your coffee will be as good as your ambiance.",Ambiance and Atmosphere,
matcha,"Pangit ang lighting nila, murag naa sa peryahan sa sobrang dim.",Ambiance and Atmosphere,
matcha,"The place itself is really nice and has a good ambiance, more ideal for groups since the tables are quite big, not so much for just one or …",Ambiance and Atmosphere,
coffee,Daghan lang aesthetic plants pero huot kaayo ang agianan.,Ambiance and Atmosphere,
coffee,"Aesthetic man pero init kaayo, way gamit ilang fans.",Ambiance and Atmosphere,
