place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic
Coffeefolks Cafe,5,coffee,"If you are looking for a place that you want to chill with your friends over Davao quality coffee, this is the perfect place.",Product Quality,,False
BRGR Alley Café,5,coffee,"delicious food, great service and very nice place",Customer Service,,False
BRGR Alley Café,5,coffee,"The plating was good, the drinks, the ambiance but probably choose the wrong item because I'm not fond of spicy and I got the Buffalo chicken... refreshing fruit soda is so good must try.",Ambiance and Atmosphere,,False
Green Coffee - Marfori,4,coffee,"Place can cater a lot of people, they also have a porch to tambay and talk with yourself  grinning_face_with_sweat  or with friends.",Ambiance and Atmosphere,,False
REVEL by Confex,5,coffee,"Exceptional customer service, fantastic atmosphere, the best coffee I have had around Davao, very good prices, and fantastic deserts.",Product Quality,,False
Starbucks,5,coffee,One of the best designed coffee shops in this part of town.,Product Quality,,False
The Crazy Bite Co. Sky Cafe,4,coffee,its hard to taste without spilling some,Product Quality,,False
Coffee Project Mintal,1,coffee,Once the food has arrived it was so small in proportion for it's high price and low quality as if it was store bought.,Product Quality,,False
Dear Joe Frontera,5,coffee,But hopefully next time the coffee shop should have coffee.,Product Quality,,False
Twelve Coffee Davao - Ecoland,5,matcha,"Food were great, value for food is excellent",Product Quality,,False
CHACHAGO - ATENEO DAVAO,5,coffee,People who work there are so accommodating and also will greet you with a smile even though they're wearing face mask.,Facilities and Amenities,,False
The Crazy Bite Co. Sky Cafe,5,coffee,"The view and ambiance are also nice, but you won't appreciate the place if it's rainy.",Ambiance and Atmosphere,,False
ROOFTOP Café Bar,5,coffee,"Nice place, just choocks, the drinks are yummy, and the staff is friendly..",Product Quality,,False
Coffeecat,5,coffee,Coffee and other offerings exceeded my expectations.,Product Quality,,False
Daleachious Cafe - Bago Aplaya Branch,3,coffee,"Daleachious Cafe Bago Aplaya is cozy and aesthetic, perfect for chill hangouts and study sessions.",Ambiance and Atmosphere,,False
HYGGE COFFEE 2,4,coffee,Also very affordable compared to nearby coffee places.,Price and Value,,False
Green Coffee - Diversion,5,coffee,"Cozy vibe, friendly staff.",Ambiance and Atmosphere,,False
KISOM Atelier,5,matcha,Got a classic unsweetened matcha latte in oatside oat milk.,Product Quality,,False
Happy Valley Cafe Davao,5,coffee,Cozy ambiance with friendly staff.,Customer Service,,False
KISOM Atelier,5,matcha,"Balanced ang taste ng gatas, tamis, and matcha.",Product Quality,,False
Knto Cinco - Puan Branch,5,coffee,We ordered  check_box_with_check Seasalt Caramel Latte  check_box_with_check Mocha sub  check_box_with_check Honey Butter Cereal Latte  check_box_with_check Cacao Latte  check_box_with_check Spanish Latte All were brewed perfectly!,Product Quality,,False
Cafe Demitasse,4,coffee,"Most of all, I love their coffee - it's either French Toast or English Toffee flavored Cappuccino or a Caramel Machiato for me.",Product Quality,,False
JH Garden Cafe and Restaurant Matina,5,coffee,Food 5 / Service.,Customer Service,,False
Matcha Bar - Marfori,5,matcha,One of the best matcha spot here in Davao.,Product Quality,,False
Anniepie,4,coffee,"Good location, yummy pies.",Store Operations and Accessibility,,False
JH Garden Cafe and Restaurant Matina,2,coffee,Plates I took home were just okay taste-wise (see photos).,Product Quality,,False
Green Coffee - Diversion,5,coffee,"face_with_rolling_eyes  It is just normal for open spaces, to encounter things like that.",Store Operations and Accessibility,,False
WORK CO COWORKING MATINA BRANCH,5,coffee,This is the fifth but most peaceful coworking space I have been to so far in spite of the highway noise.,Facilities and Amenities,,False
The Coffee Spot & Lounge,4,coffee,Service was okay…,Customer Service,,False
Kafih - Davao,5,coffee,Fast wifi and conducive for studying.,Facilities and Amenities,,False
Starbucks - SM City Davao,5,coffee,I love the ambiance of that coffee shop at the same time i love the coffee smiling_face_with_heart-eyes  smiling_face_with_heart-eyes  smiling_face_with_heart-eyes  face_blowing_a_kiss  …,Ambiance and Atmosphere,,False
Lara Mia Café & Bistro,5,coffee,We ate here for lunch but ended up staying nearly 5 hours because we got immersed in our conversation.,Store Operations and Accessibility,,False
Knto Cinco - Puan Branch,5,coffee,All the food and drinks we ordered were good.,Product Quality,,False
Glasshouse Coffee,5,coffee,Their coffee is also delicious.,Product Quality,,False
Cafe Demitasse,4,coffee,Good food nice location and great on dessert.,Product Quality,,False
Barok Cafe and Resto,1,coffee,I ordered food without asking what size my matcha was?,Product Quality,,False
Krispy Kreme Factory Store Davao,5,coffee,I love their classic original glazed paired with brewed coffee.,Product Quality,,False
Starbucks - GMall of Davao,5,coffee,"It's not the biggest branch but it offers comfort, good coffee, and a peaceful spot to pause your day, study or hangout with your friend.",Facilities and Amenities,,False
Wild Zebra Coffee,5,coffee,"The place is incredibly spacious, making it an ideal spot for reading or study sessions.",Facilities and Amenities,,False
Glasshouse Coffee,1,coffee,"Don't expect to give you WiFi password, when it's clearly have WiFi available.",Facilities and Amenities,,False
Starbucks SM Davao Expansion Wing,5,coffee,Great food and customer service is topnotch.,Customer Service,,False
Annipie - SM Lanang,1,coffee,"Poor Service, Cashier is Not Focus in taking order !",Customer Service,,False
Coffee By The Way,5,coffee,"A nice place to enjoy a cup of coffee, they also serve breakfast and dinner",Product Quality,,False
HYGGE COFFEE 2,3,coffee,Affordable!,Price and Value,,False
Green Coffee - Diversion,5,coffee,Coffee and cakes are good!,Product Quality,,False
Lara Mia Café & Bistro,5,coffee,Outstanding food with pro-active servers.,Product Quality,,False
Black Scoop Cafe Matina,5,coffee,"Staff could be more polite, but their food makes up for this.",Product Quality,,False
Purge Coffee Roaster,5,coffee,"Service is great, cards and GCash are accepted.",Customer Service,,False
MYLK Cafe,5,matcha,Friendly and accomodating staff,Customer Service,,False
Fiend Coffee Club,4,coffee,"Yah, you will receive 6oz Matcha Americano if you choose the hot option.",Product Quality,,False
One Corner Coffee Lifestyle and Beyond,5,coffee,"I really love the coffee and cake I had, and I will definitely come back to try more of their drinks and food.",Product Quality,,False
Sipscape Cafe,5,coffee,"The vibe is super chill – perfect for studying, getting some work done, or just hanging out with friends.",Facilities and Amenities,,False
Cafe Demitasse,5,coffee,"5/5 easy with no doubts Food, service, and atmosphere, you name it and will be perfect Straight away as I entered the coffee shop, I was welcomed by the majority of staff even before I sat down.",Ambiance and Atmosphere,,False
Starbucks - Matina IT Park,5,coffee,Their baristas are friendly  smiling_face_with_hearts  …,Customer Service,,False
The Crazy Bite Co. Sky Cafe,4,coffee,"It is a great place especially when you see the view from above, food is tasty and staff is well accommodating.",Customer Service,,False
WORK CO COWORKING MATINA BRANCH,5,coffee,Thanks to Divine who is so accommodating and friendly.,Customer Service,,False
Starbucks - SM City Davao,5,coffee,Nice vibe and very friendly staff,Ambiance and Atmosphere,,False
Seattle's Best Coffee,2,coffee,"First Coffee something after 20 Minutes, and first ""Meal"" (it is more a bread-snack than a meal) after something like 30 minutes.",Product Quality,,False
Purge Coffee Roaster,5,coffee,"We ordered a Cookie Butter Hot Cocoa, Espresso Mule, Bacon and Egg Waffle and a Chicken Pesto and Cheese Waffle.",Product Quality,,False
BRGR Alley Café,4,coffee,Cool ambiance.,Ambiance and Atmosphere,,False
Coffeecat,5,coffee,"Honestly, this is one of the best—if not the best—coffee shops in Davao City.",Product Quality,,False
Coffeecat,5,coffee,Good Coffee chill place,Ambiance and Atmosphere,,False
MANU Coffee,3,coffee,"However, the staff weren't very hospitable, which negatively affected our overall experience.",Customer Service,,False
444 Coffee,4,coffee,I ordered the iced sea salt Spanish latte.,Product Quality,,False
Whisk Davao Matcha,5,matcha,The ambiance is incredibly calm and …,Ambiance and Atmosphere,,False
Whisk Davao Matcha,5,matcha,"Their matcha is really good, and the staff are very warm and welcoming, especially Ms. Angel (murag tropa ra!).",Customer Service,,False
Annipie @ The Farm,5,coffee,Coffee is also good.,Product Quality,,False
The Matcha Tokyo - SM Davao,5,matcha,place is not crowded during non peak hours.,Store Operations and Accessibility,,False
Coffeecat,5,coffee,They have the best-tasting matcha in Davao and the food is also good.,Product Quality,,False
Coffeecat,3,coffee,Great service!,Customer Service,,False
Whisk Davao Matcha,5,matcha,Whisk is 100% THE GO TO MATCHA PLACE  green_heart  Russel was kind enough to let me take videos during the whisking!,Product Quality,,False
Green Coffee - Diversion,4,coffee,But there is times I can't study properly due to being distracted to noisy people but that's aight since it's public and literally for everyone.,Facilities and Amenities,,False
Palps Cafe,4,coffee,Got the ₱190 Iced Blue Matcha.,Product Quality,,False
Fika Cafe - Lapu-Lapu,3,coffee,I also observed that tables were not being cleared promptly.,Facilities and Amenities,,False
Cafe Demitasse,5,coffee,Good food.,Product Quality,,False
Space-Arabica,5,coffee,Food is just right for our budget.,Price and Value,,False
Kafih - Davao,5,coffee,RECOMMENDED FOR THOSE WORKING AND STUDENTS NA NAGHAHANAP NG CAFE WITH WIFI!,Facilities and Amenities,,False
Fromari,4,coffee,Parking was obstructed too with a sign so I was there really quick.,Store Operations and Accessibility,,False
Calibrated Coffee House Matina,5,coffee,Best cold coffee in Davao,Product Quality,,False
Whisk Davao Matcha,5,matcha,I love how they craft their Matcha here as their signature drink  teacup_without_handle  white_heart  green_heart  …,Product Quality,,False
Matcha Bar - Marfori,5,matcha,Cosy atmosphere with unique interior design.,Ambiance and Atmosphere,,False
Coffee Hub,5,coffee,"Whether you're looking for a quiet place to unwind or a spot to meet friends, Delicious Food & Amazing Coffee!",Product Quality,,False
Indoor Café,5,coffee,This spot is the perfect blend of a relaxed atmosphere and exceptional quality.,Ambiance and Atmosphere,,False
Solace - Coffee Club,5,coffee,Drinks are also superb!,Product Quality,,False
KOHI,3,coffee,"Location - good, people cant talk loud here.",Store Operations and Accessibility,,False
Haron's Cafe,5,coffee,Really satisfied with their service and food.,Product Quality,,False
