place_name,latitude,longitude,rating,review_text,Shop_Type
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"If you’re looking for a cozy place to enjoy good coffee and Japanese-inspired comfort food, Kotetsu by Woods and Coffee is worth a visit. The ambiance is relaxing, with a modern and inviting interior that’s great for catching up with friends or simply enjoying some quiet time. The food is well-presented and flavorful, and the coffee pairs nicely with their menu selections. The staff are courteous and attentive, making the overall dining experience pleasant. Whether you’re stopping by for a meal or just a cup of coffee, it’s a nice spot to unwind and enjoy quality time. #PitikNiLolie #DavaoFoodie #KotetsuByWoodsAndCoffee #CoffeeLovers #CafeHopping #FoodReview #Suppo",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"Tried their Yabukita Matcha Latte and it was good. The place was nice, but it was a bit too far from the entrance. Well, I understand that maybe they wanted to keep the tranquil vibes like their main branch, Wood & Coffee. Wasn’t able to try their meals & pastries, but I will definitely come back! :)",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,"This coffee shop radiates a cool, artistic vibe from the moment you walk in. Their coffee and drinks taste great and are perfect for unwinding or powering through study sessions. It feels like a hidden oasis made for students to focus or just hang out. Since it’s on the second floor, it might be a bit tricky for anyone with weak knees, but the climb is totally worth it. Davao’s cafe scene just keeps getting better with fresh concepts and exciting flavors.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"The food was really yummy and the ambiance was warm and relaxing, which made the whole experience nice. However, the new matcha cookie butter latte was just okay since the cookie butter flavor wasn’t very noticeable and didn’t stand out as much as I expected, unlike the coffee matcha cookie butter latte.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"I really love the industrial look of Kotetsu. The iron, wood, and concrete design feels warm and functional. I would never think of using I-beams as small shelving spaces. The artful pieces were so interesting too. While a bit on the expensive side, the coffee was delicious. I especially liked the oat Spanish latte. If you're craving for something cold then I suggest their concrete latte. It's like an affogato! Also their Matilda cake was a simple and rich chocolate based dessert that paired well with the coffees we ordered. All in all I love this coffee shop that's tucked away hidden in the deepest part of Emilia Mindanao Souvenir Center.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,"After Fourth street cafe, walked over here. Saw the 5% service charge. Got from the Matcha Series 8oz Yabukita Matcha Cold Whisked drink for ₱215 but ₱226 total. It says 'single origin: subtle notes of almond and a mellow finish'. By single origin meaning Ujitawara, Kyoto. The notes say 'notes of almond' so I don't taste almond. Remembered seeing this red and Mlekovita milk brand. The full cream costs ₱69 in Lots for Less. No usucha or koicha option. Barista was great though. Loved the cafe theme. There's wifi.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"A new quaint cafe in downtown Davao you must visit. The interior is rustic industrial style and it's not crowded. I want highlight that the staff are very friendly and offered great suggestions to try. There's no matcha drink available when I visited, so the other option was hojicha. Ordered the Hojicha Cacao with cacao nibs. I liked the roasted flavor and the crunchy bittersweetness of the cacao. Hopefully I can try the matcha drinks next time. There's also free WiFi.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,"Serves great matcha!! We tried their banana pudding matcha and it did not disappoint… but their matilda cake is kinda dry and crumbly, i hope they can improve.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"A caffeinated work of art that leaves me speechless with every sip! Their coffee hits all the right notes, leaving me craving another cup. The place is cozy and laid back too. Nice interior, aesthetic fersons would surely love it here. We also celebrated a lowkey birthday of a friend here and the staff are okay with it and welcoming. was not able to take a photo of the menu but the price is just right for its blend - especially for enjoying the place too. This cafe at 2nd floor fronting Nishlan (chocolate store), located inside the commercial building that is fronting Make up store (Avon).",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,3,"The location of the cafe is a bit difficult to find since it’s located inside a compound on the second floor at the end of the building. Upon entering the cafe, they have this brutalist design which matches perfectly with the cafes name so don’t expect a cozy interior. Although, it doesn’t feel like a good place to get some work done, but they didn’t have WiFi when we visited so that’s something to think about. At the same time, the space is a bit small, so that’s something to consider if you’re planning on coming as a group. As for the prices, it’s pretty much the same as the prices of their sister cafe (wood and coffee) so I wouldn’t say that the cafe is student friendly because of this. In terms of the food and beverages, they were pretty standard in my opinion. I’d have to go back and taste the other beverages on their menu.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,Context: I went here just by searching GMaps It’s January 2 This is one of the most amazing coffee shops I’ve been to. There are power outlets for charging The design and interior is superb and Inlove the crude theme They accept Credit Card payments The internet connection is great It’s on the second floor of a business square The service is great maybe because it’s just me this time It’s in the heart of the city which makes it accessible from and to other locations The only bad thing is the loud speaker or music from outside the coffee shop.,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,"Tried their Gokuo Matcha and Mugwort Latte drink. The Matcha is a bit bland for my taste i would want it to be sweeter. The Mugwort latte is sweet amd delicious it taste like a cookies and cream shake. Also tried their Pasta Blanco, nothing special. Brownies are very good and chocolatety. The place is not crowded really ideal for studying, as there were people studying when we got there.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"This is a great little cafe. Great atmosphere, not too busy, a simple yet elegant food menu (including several healthy options). And good customer service. They also have free Wi-Fi and free water to drink.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"Another must-visit café in Davao! 🙌🏼✨ Absolutely loving the modern industrial interior—every corner is thoughtfully designed and worth appreciating. As for the coffee, I went for their signature Concrete Latte, topped with premium French vanilla ice cream. If you're into a smooth, sweet, and rich coffee, this one's a winner! Follow my IG: @marasiganjayr, for more cafe recommendations",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,3,"I've heard they serve one of the best Matcha drinks in town, and so I finally had the chance to visit them last week. Unfortunately, their Hojicha Cacao did not meet my expectations. It was, I would say, bland in taste. For Php 235, I'd say try some of their drinks instead. However, please be aware that most of their drinks here is a bit pricier than Starbucks or other third-wave coffee shops. In terms of the ambiance/vibe, the place has a brutalist/industrial interior. I just find it funny that they turned off the A/C from where I am sitting, but was gracious enough to place an electric fan instead. And oh, do not pay via credit card. The staff did not informed me that they charge additional 5% on top of your total bill so I was shocked to see I was charged a higher amount. In addition, they will not provide you an invoice UNLESS REQUESTED. By law, merchants aren't allowed to charge customers with surcharges/terminal fee for every credit card transactions. I guess they get away with it because they label the additional 5% surcharge/terminal fee as ""Service Charge"" when you do not get charged a ""Service Charge"" if you pay by cash lol. I could report them to DTI for unfair practice but I do not have time to do so. Well at least, you've been informed ahead. Pay in cash if possible. If you're planning to work/study here, they do not have a WiFi so make sure you have reliable mobile data with you. They have charging outlets though.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,3,"I’ve been a regular at both Kotetsu and Wood and Coffee since 2024 because they make some of the best matcha blends in Davao. But my visit yesterday (1/17/26) might make me think twice about going back to Kotetsu. We grabbed a spot at one of the long wooden tables near the bar. The baristas were as friendly as ever, and the Okumidori and other drinks were delicious. A few hours in, though, we spotted bugs crawling across the table. At first, I thought they were just big ants, but they turned out to be bed bugs. I told one of the waiters about it and asked if they could clean the table after we left, but I know it would need stronger chemicals to get rid of them. We had to check all our clothes and belongings to make sure they didn’t hitch a ride home with us. I’m writing this review so the owners can fix the problem. I really hope it gets sorted out soon because Kotetsu is one of my favorite cafes in the city.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"Same great matcha as Wood and Coffee. I loved the rustic ambiance and the fact that it’s airconditioned! Space is a bit smaller, so expect some waiting times on busier days. I can’t wait to come back!",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,3,coffee is mid need more caffeine in it. but the wooden interior is so sick and unique,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,3,"The coffee shop offers ample parking space, thanks to its location in a commercial area. The interior is visually appealing and has a unique charm. During my visit around 9 p.m. (close to closing time), it wasn’t crowded at all, which made for a relaxed atmosphere. The drinks are excellent and reasonably priced, making it a great spot to unwind. However, one thing that struck me as odd was the service charge. While I understand that the service charge culture is gradually making its way into Davao City, I don’t think it’s justified for a small coffee shop like this. For sit-down restaurants where service demands are higher, it makes sense, but for a casual coffee shop, it feels unnecessary.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"Honest review. My go-to cafe in Davao is especially near my school (ADDU). I love Kotetsu's aesthetic and concrete design look; it feels warm and not crowded, especially at night! I've been ordering their matcha series for the past few months, and I can definitely say that it exceeded my expectations, especially their matcha banana puddings. It is hella 100/100. Their matcha tastes so good; the puddings taste so good WTHHFHF, I also love their matcha biscoff, I would rate it to 95/100 !! So obsessed with it!! However, if you're looking for food such as pasta, especially aglio olio, I ate it two times last January. I hope they can improve it since it tastes dry, yet oily. The serving is too big (for me), but it is okay, considering the price. Then I have also tried their Spanish oat latte; di ako sure sa taste since di ako coffee lover, para siyang may weird after taste na di ko ma gets ang feeling, baka lang di ko siya ma appreciate, basta para siyang may bitter yet sweet ang feeling niya. Guys, please prepare at least 500-1k budget siguro kasi medjo mahal din ang menu if ever plan niyo mag visit, I go here like every thrice a month din depende sa budget, basta i love the atmosphere, buotan sad mga people there :)",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,Good coffee shop. Ordered my usual Mugwort cream latte.,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,Artsy vibes na cafe cool furniture,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,Nice place to have coffee in Claveria area. The atmosphere looks really great.,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"Basically Wood and Coffee but in the middle of the city. They kept the menu exactly the same and, somehoe, managed to bring the vibe and atmosphere of the original location to this one as well (minus the nature you see when you look outside).",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,"Great drinks like matcha and coffee. Kindly pricey compares to others. They have meals but i haven't tried. I tried their cookie, not bad. Ambience is great for focus or chilling quietly. It's located at a back or a commercial building so it has a private feels.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,2,"I don’t think it’s fair to charge 5% service fee when no real service was provided. The drinks were just delivered to the table, water is self-service, and even tissues are self-service. Nothing really justifies the added charge, and it feels like an unnecessary expense for customers.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,Love the vibe.,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,Good americano,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,Good place.,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,3,"3 stars. 1 star for the food 1 star for the place, and 1 star for the service The food is expensive and I think it's reasonable because it's really tasty, but I think it's a bit too overpriced considering the fact that there's still a 5% service charge. Buying a meal would cost me over 500 nagud. Although expensive, I keep coming back since I only go here if I'm on a budget. Hate what's bad, compliment what's good.",Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,5,,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,2,,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,4,,Coffee
Kotetsu by Wood and Coffee,7.0707686,125.6100912,3,,Coffee
