place_name,rating,shop_type,sentence,TargetAspect,Sentiment,is_synthetic
Kape Dabaw,1,coffee,"Kusog kaayo tung kanta sakit sa dunggan, dili maka focus.",Ambiance and Atmosphere,Negative,TRUE
Matcha Loco,2,matcha,"Puro lang aesthetic pero alimuot kaayo sa sulod, way aircon.",Ambiance and Atmosphere,Negative,TRUE
Brewed Obrero,1,coffee,Place was noisy too and NOT conducive for studying and/or working.,Ambiance and Atmosphere,Negative,TRUE
Vibes Cafe,2,coffee,"Huot kaayo ang place, crowded ra masyado di na makaginhawa.",Ambiance and Atmosphere,Negative,TRUE
Aesthetic Beans,1,coffee,"Another overpriced ""aesthetic"" coffee shop na bati og vibe.",Ambiance and Atmosphere,Negative,TRUE
Matcha Point,1,matcha,"Guba ilang aircon, nag mantika akong nawong sa kainit.",Ambiance and Atmosphere,Negative,TRUE
Poblacion Brews,2,coffee,"No variety of good music, sige rag balik-balik.",Ambiance and Atmosphere,Negative,TRUE
Ecoland Cafe,1,coffee,PURO PA AESTHETIC pero baho man og abog sa sulod.,Ambiance and Atmosphere,Negative,TRUE
The Glasshouse,2,coffee,"It's not just about making a business out of an aesthetic cafe, ayuha pud ang aircon.",Ambiance and Atmosphere,Negative,TRUE
Matcha Vibes,1,matcha,"Ngitngit kaayo ang palibot, sakit sa mata magbasa.",Ambiance and Atmosphere,Negative,TRUE
Kape Dabaw,2,coffee,"Saba kaayo ang mga barista mag chika, dungog sa tibook shop.",Ambiance and Atmosphere,Negative,TRUE
Matcha Loco,1,matcha,"Grabe ka init sa sulod, nag tipid siguro sa aircon ang tag-iya.",Ambiance and Atmosphere,Negative,TRUE
Brewed Obrero,2,coffee,"Alingugngug kaayo, murag palengke ang kabanha sa mga tao.",Ambiance and Atmosphere,Negative,TRUE
Coffee Project Obrero,1,coffee,"Aesthetic unta pero ang mga lingkuranan dili comfortable, sakit sa likod.",Ambiance and Atmosphere,Negative,TRUE
Matina Beans,2,coffee,"Saba ang background music, di mi magkadungog sa akong kaistorya.",Ambiance and Atmosphere,Negative,TRUE
