place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,annotator_1,annotator_2,annotator_3,annotator_4,ground_truth,vote_breakdown,is_tie
Starbucks,5,coffee,Truly a Starbuckian and cozy place to chill and unwind,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
ROOFTOP Café Bar,5,coffee,Great atmosphere,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,The staffs are really kind and approachable i like the vibe and the song of choice they play,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fourth Street Cafe,5,coffee,"Minimalist vibe, al fresco setting, and great coffee.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Demitasse,5,coffee,"We love the vibrant ambiance, customer service of the guards and waiters, clean comfort rooms and the yummy foods especially the cakes.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"We were all happy with the service, the ambiance, and of course the food and drinks.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Evermore Cafe Davao,5,coffee,"This chic, contemporary establishment perfectly complements the neighborhood's serene ambiance.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Matcha Point,1,matcha,Way lami itambay kay ang alimuot sa ilang second floor.,Ambiance and Atmosphere,NEGATIVE,True,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Kotetsu by Wood and Coffee,5,coffee,"The food was really yummy and the ambiance was warm and relaxing, which made the whole experience nice.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
JH Garden Cafe and Restaurant Matina,4,coffee,Chill place and peaceful.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
JH Garden Cafe and Restaurant Matina,5,coffee,"The peaceful ambiance, combined with the natural beauty of the surroundings, makes it an ideal place for any occasion.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Koffiepauze,4,matcha,The ambiance is nice,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Starbucks,5,coffee,Good coffee and good ambiance,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Hid'n Coffee,5,coffee,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
KISOM Atelier,5,matcha,Very chill vibe too.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Coffee Project Mintal,4,coffee,"The place is beautifully designed — cozy, Instagram-worthy, and has that relaxing vibe that makes you want to stay longer.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Good One Cafe and Yogurt,5,coffee,The interior is very unique and the ambiance is great.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Annipie,5,coffee,Very nice ambiance with lots of cakes to choose from.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Bandejas Cafe & Diner,5,coffee,"Lovely atmosphere, delicious food and great music.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Humble Table,4,coffee,The place has a cute and cozy ambiance.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Paramount Coffee Crocodile Park Davao,4,coffee,a place to go for a good cuppa with relaxing ambiance depending on the time of day.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fourth Street Cafe,5,coffee,"Love the minimalist approach, the friendly baristas and the cafe's airy & relaxing atmosphere.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
ROOFTOP Café Bar,5,coffee,We enjoy the food with the calm ambiance.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Daleachious Cafe - Ecoland Branch,5,coffee,Their jazzy background music makes you mellow down and enjoy the ambiance.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Outlook,5,coffee,"The outdoor tables are adorned with warm accent lights that mimic candlelight, creating a romantic and intimate atmosphere.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fourth Street Cafe,5,coffee,The minimalist design of the cafe creates a soothing atmosphere that's perfect for savoring every sip.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Starbucks Damosa IT Park Drive-Thru,5,coffee,"The all-glass front and side are particularly pleasing and add a beautiful ambiance, especially at night.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
The Matcha Tokyo - SM Davao,5,matcha,Great atmosphere and service too :)),Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Indahouse Cafe,5,coffee,Place: Very Instagrammable Staff: friendly and very attentive Matcha: you can explore various types of high quality matcha drink.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
