place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,prob_negative,prob_neutral,prob_positive,predicted_label,margin
The Crazy Bite Co. Sky Cafe,4,coffee,Meals star  star  star  star  Burgers  star  star  star  star  star  Coffee  star  star  star  Place  star  star  star  star  star  Crews  star  star  star  star  Great service  star   star   star   star   star,Customer Service,,False,0.38255647,0.23488694,0.38255662,POSITIVE,1.4901161e-07
One Corner Coffee Lifestyle and Beyond,5,coffee,I LOVE THE AMBIANCE <3,Ambiance and Atmosphere,,False,0.38840142,0.22319658,0.38840204,POSITIVE,6.2584877e-07
Coffeecat,5,coffee,Love the ambiance and food!,Ambiance and Atmosphere,,False,0.3997164,0.20056337,0.39972028,POSITIVE,3.874302e-06
Fourth Street Cafe,5,coffee,"Minimalist, great ambiance and fast service!",Ambiance and Atmosphere,,False,0.41052973,0.17894706,0.4105232,NEGATIVE,6.5267086e-06
Paramount Coffee Crocodile Park Davao,5,coffee,Ambiance is so nice and relaxing.,Ambiance and Atmosphere,,False,0.39037496,0.2192742,0.39035085,NEGATIVE,2.4110079e-05
STASH Coffee Co.,4,coffee,"Delicious coffee, chill vibes.",Ambiance and Atmosphere,,False,0.39960518,0.20076081,0.39963397,POSITIVE,2.8789043e-05
Lara Mia Café & Bistro,5,coffee,Love the ambiance too!,Ambiance and Atmosphere,,False,0.40076905,0.19851573,0.40071517,NEGATIVE,5.38826e-05
Craft Coffee & Roastery,5,coffee,Indulge in the irresistible aroma and taste of their brewed coffee.,Product Quality,,False,0.3840896,0.23188291,0.3840275,NEGATIVE,6.207824e-05
The Matcha Tokyo - Azuela High Street,5,matcha,Very nice cafe ambiance and yummy matcha!!,Product Quality,,False,0.39539942,0.2092669,0.39533374,NEGATIVE,6.568432e-05
The Matcha Tokyo - Azuela High Street,5,matcha,Very nice cafe ambiance and yummy matcha!!,Product Quality,,False,0.39539942,0.2092669,0.3953337,NEGATIVE,6.571412e-05
Glasshouse Coffee,5,coffee,The wooden interiors give off a calming vibe.,Ambiance and Atmosphere,,False,0.39419466,0.21168117,0.39412415,NEGATIVE,7.0512295e-05
olo. Coffee And Concepts,5,coffee,I really like the ambiance and all.,Ambiance and Atmosphere,,False,0.39401716,0.21203947,0.39394337,NEGATIVE,7.379055e-05
Glasshouse Coffee,4,coffee,Quiet and elegant,Ambiance and Atmosphere,,False,0.38813788,0.22380193,0.38806018,NEGATIVE,7.7694654e-05
Humble Table,5,coffee,"The café itself has a cozy vibe, making it a great spot to relax and enjoy a delicious drink.",Ambiance and Atmosphere,,False,0.39391592,0.2122537,0.39383042,NEGATIVE,8.550286e-05
Lara Mia Café & Bistro,5,coffee,An aswome restaurant with great food and delightful atmosphere  OK_hand,Ambiance and Atmosphere,,False,0.3884221,0.2230572,0.38852066,POSITIVE,9.855628e-05
Kiks Davao,3,coffee,The rich and bold flavors of the coffee really hit the spot.,Product Quality,,False,0.3871834,0.22552967,0.38728693,POSITIVE,0.00010353327
PICKUP COFFEE - Oroderm City,5,coffee,The place has such a calm and cozy vibe — definitely a café we'll always keep coming back to.,Ambiance and Atmosphere,,False,0.3960942,0.20791557,0.3959902,NEGATIVE,0.000104010105
Chatime - SM Ecoland Davao,3,coffee,Typical chatime drinks small and fast for your cold milk tea,Product Quality,,False,0.38276675,0.23435976,0.38287348,POSITIVE,0.00010672212
MYLK Cafe,5,matcha,Space was small but very homey like ambiance,Ambiance and Atmosphere,,False,0.39267507,0.21454151,0.39278346,POSITIVE,0.00010839105
MYLK Cafe,5,matcha,Space was small but very homey like ambiance,Ambiance and Atmosphere,,False,0.39267507,0.21454151,0.39278346,POSITIVE,0.00010839105
The Coffee Bar at GMall of Davao,5,coffee,Everything is good from ambiance-food-staff.,Ambiance and Atmosphere,,False,0.39251792,0.21485078,0.39263135,POSITIVE,0.00011342764
Kove,3,coffee,"Sure, it looked neat and added to the overall aesthetic.",Ambiance and Atmosphere,,False,0.3970741,0.2057354,0.3971905,POSITIVE,0.00011640787
Humble Table,4,coffee,I really like the vibe of this place.,Ambiance and Atmosphere,,False,0.3955424,0.20903566,0.39542192,NEGATIVE,0.00012049079
Indahouse Cafe,5,coffee,Well-made furniture and an atmosphere that's calm but not stiff.,Ambiance and Atmosphere,,False,0.3921866,0.2157483,0.39206514,NEGATIVE,0.000121474266
Pastry Street Pie & Café,5,coffee,pushpin The ambience is very homey  pushpin They had a taste of curated music playlist that sets that comforting vibe.,Ambiance and Atmosphere,,False,0.3868678,0.22638957,0.38674268,NEGATIVE,0.00012511015
Cafe Demitasse,4,coffee,Place has Denny's resto kind of ambiance.,Ambiance and Atmosphere,,False,0.392413,0.21503742,0.39254954,POSITIVE,0.00013655424
Matcha Loco,1,matcha,"Not aesthetically pleasing sa personal, untidy and noisy.",Ambiance and Atmosphere,,True,0.39192325,0.21601354,0.39206317,POSITIVE,0.0001399219
Steep Kohi,5,coffee,Ordered Matcha Volume 1 enjoyed the drink has a very bold matcha flavor with very slight sweetness.,Product Quality,,False,0.383384,0.23308933,0.38352665,POSITIVE,0.00014266372
Café de Vivré,5,coffee,The ambiance of the place is also really nice.,Ambiance and Atmosphere,,False,0.39612255,0.20761018,0.39626724,POSITIVE,0.00014469028
ROOFTOP Café Bar,5,coffee,"I love the vibe, the food and drinks are great",Ambiance and Atmosphere,,False,0.39462316,0.21060371,0.3947732,POSITIVE,0.00015002489
Kafih - Davao,5,coffee,"Worth the price  OK_hand_light_skin_tone  The services, wifi the ambiance.",Ambiance and Atmosphere,,False,0.39080924,0.21853933,0.3906514,NEGATIVE,0.0001578331
Knto Cinco - Puan Branch,5,coffee,The sweetness is just right to your palate and is best paired with coffee.,Product Quality,,False,0.3858964,0.22836794,0.3857356,NEGATIVE,0.00016081333
Door 3 Cafe,5,coffee,me and my gf loved the atmosphere so much!,Ambiance and Atmosphere,,False,0.3924709,0.2148968,0.39263222,POSITIVE,0.00016131997
Cafe Basilico,5,coffee,"From the moment we walked in, we felt right at home in the warm, inviting atmosphere.",Ambiance and Atmosphere,,False,0.40003192,0.19976984,0.40019828,POSITIVE,0.00016635656
"The Coffee Bar, Gaisano Mall of Toril",5,coffee,Great ambiance and great food,Ambiance and Atmosphere,,False,0.39420003,0.21176991,0.39403012,NEGATIVE,0.00016990304
Purge Coffee Roaster,4,coffee,It also has a feel good cozy vibe.,Ambiance and Atmosphere,,False,0.39112893,0.21792096,0.39095008,NEGATIVE,0.00017884374
Starbucks - Matina IT Park,4,coffee,Coffee is great and the vibe of the place nice.,Ambiance and Atmosphere,,False,0.3972933,0.2052337,0.39747304,POSITIVE,0.0001797378
Coffeecat,4,coffee,Coffee taste good and cream brulee just suits their coffee,Product Quality,,False,0.38407737,0.23204406,0.38387856,NEGATIVE,0.00019881129
Starbucks Damosa IT Park Drive-Thru,4,coffee,Coffee and ambiance is always great.,Ambiance and Atmosphere,,False,0.39594212,0.20831543,0.39574248,NEGATIVE,0.00019964576
