place_name,rating,shop_type,sentence,TargetAspect,Sentiment,is_synthetic
Kape Dabaw,1,coffee,"Kusog kaayo tung kanta sakit sa dunggan, dili maka focus.",Ambiance and Atmosphere,Negative,True
Matcha Loco,2,matcha,"Puro lang aesthetic pero alimuot kaayo sa sulod, way aircon.",Ambiance and Atmosphere,Negative,True
Vibes Cafe,2,coffee,"Huot kaayo ang place, crowded ra masyado di na makaginhawa.",Ambiance and Atmosphere,Negative,True
Aesthetic Beans,1,coffee,"Another overpriced ""aesthetic"" coffee shop na bati og vibe.",Ambiance and Atmosphere,Negative,True
Matcha Point,1,matcha,"Guba ilang aircon, nag mantika akong nawong sa kainit.",Ambiance and Atmosphere,Negative,True
Ecoland Cafe,1,coffee,PURO PA AESTHETIC pero baho man og abog sa sulod.,Ambiance and Atmosphere,Negative,True
Matcha Vibes,1,matcha,"Ngitngit kaayo ang palibot, sakit sa mata magbasa.",Ambiance and Atmosphere,Negative,True
Kape Dabaw,2,coffee,"Saba kaayo ang mga barista mag chika, dungog sa tibook shop.",Ambiance and Atmosphere,Negative,True
Matcha Loco,1,matcha,"Grabe ka init sa sulod, nag tipid siguro sa aircon ang tag-iya.",Ambiance and Atmosphere,Negative,True
Brewed Obrero,2,coffee,"Alingugngug kaayo, murag palengke ang kabanha sa mga tao.",Ambiance and Atmosphere,Negative,True
Coffee Project Obrero,1,coffee,"Aesthetic unta pero ang mga lingkuranan dili comfortable, sakit sa likod.",Ambiance and Atmosphere,Negative,True
Matina Beans,2,coffee,"Saba ang background music, di mi magkadungog sa akong kaistorya.",Ambiance and Atmosphere,Negative,True
Toril Brews,1,coffee,"Super crowded na, wala nay breathing room sa sulod.",Ambiance and Atmosphere,Negative,True
Green Matcha PH,1,matcha,"Pangit ang lighting nila, murag naa sa peryahan sa sobrang dim.",Ambiance and Atmosphere,Negative,True
Lanang Cafe,2,coffee,Not ideal for remote work kay ang ingay sa paligid.,Ambiance and Atmosphere,Negative,True
Davao Coffee Co,1,coffee,"Baho og aso gikan sa gawas, musolod sa cafe.",Ambiance and Atmosphere,Negative,True
