place_name,latitude,longitude,rating,review_text,Shop_Type
Cafe Julieta,7.0574155,125.5892076,4,"Function hall 1 and 2 usage went well. Place is clean, malamig and the buffet set up was well-prepared. Must order - BEEF KALDERETA and MOLO SOUP. Masarap tlga ang kaldereta. Generous sa serving during the buffet, madami sobra sa food kahit almost 50 pax kame. Definitely recommending Cafe Julieta for family gatherings and the likes. Kudos to all the staff. Very helpful and they really know what they're going. Good Job. Breakfast meals (1 viand) at 395 +7%SC with basic coffee. +50 pesos for brewed. The early AM staff are very nice, respectful and pro-active. Credit card is accepted.",Coffee
Cafe Julieta,7.0574155,125.5892076,5,Service is great! Good place to host events. Professional communication and service. Everything went smoothly. Food was also great.,Coffee
Cafe Julieta,7.0574155,125.5892076,5,"I have not been here since it first opened, and now with regret. Staff, food, and ambience absolutely lovely.",Coffee
Cafe Julieta,7.0574155,125.5892076,4,"Lunched here as a group years back. And this time for early breakfast (7:30 a.m.). The Filipino/American breakfast was swift but the Continental took much longer. I expected the Hot Chocolate (tableya) to be thicker, tastier and NOT blended with milk and sugar when it reached our table. The breads were a lot as I had all four (4) selection. Four (4) spreads went with the plate as well. If you are a light breakfast eater this would definitely be very filling and would seem too much but will get you through to lunch or even a few hours after. It's imperative to try their chocolate cake in can. A hotel plus pool form part of this place's added attraction. So first-timers, you be the judge.",Coffee
Cafe Julieta,7.0574155,125.5892076,5,Clean pool. Food a bit expensive. Restaurant is spotless. They should promote bbq pork events. Huge party time ⏲️ 🙌. We will return,Coffee
Cafe Julieta,7.0574155,125.5892076,5,"We've been here twice in search of a place to with a decent wifi and an area to have work considering the current situation. They open at 10am, then closes at 2pm; reopens by 4:30pm. We had to find a place to work. The head server was gracious to accomodate as even before 4:30pm and served us even it was his breaktime. Place as they is instagrammble. I looove the interiors. Food is really great. Salmon is cooked just right. Baby back ribs is smoked to perfection. and the Tarragon tea seals the deal. It's less people dining in here due to early curfew (thankfully it has been extended to 9pm now!). But if you have time, this place is perfect for family. They also have take-out. I always hear they have expensive menu. But they also have set meals which is wallet-friendly and still mouth-watering. I attached the menu for your reference. Ample parking space too. Customer service: 5/5 for the head server!! there is one female server though who's too rude but we'd forgive her. To the owners, give the head server a raise! 😊",Coffee
Cafe Julieta,7.0574155,125.5892076,4,"We have different pros and cons about a place, especially its food. So I'll start with the place. I love the place, because it's cozy and I feel completely comfortable, especially the lights and decorations are cute. The concept fit with place. They have nice and clean comfort rooms, and the pool side is nicely decorated too which is nice. The staffs are friendly, welcoming, nice and accomodating. The food is good, there's nothing extravagant with the taste, but that's okay, except for the Sisig (I forgot the price) and Seafood Laksa (299pesos). It was presentable enough for me. Food is quite pricey but it's good enough for 3-4 persons (unless all of you are voracious eaters). The cons for me is still in the food. The gravy in our Fried Chicken Steak (339pesos) was a bit cold, but the chicken is fresh and warm when served to our table. The Baby Back Ribs w/ Asian BBQ sauce (369pesos) is good and tasty, the meat is not that meaty but I think it's okay. Overall, the place and staffs are okay but there's need to improve in the food. I'll go back here in some other time to try other foods in their menu. I attached some pictures below. I forgot to take a picture for the Baby Back ribs, but there are the others that you might want to see. I also took the menu if you wanted to know how much their food, buffet, function hall and swimming pool cost.",Coffee
Cafe Julieta,7.0574155,125.5892076,3,"The ambiance is amazing but they should add more to their menu considering that they make tasty food. However, one of my friends dessert bread has molds in it, the order was cancelled but they did not compensate my friend considering that she was able to consume half of the bread before realizing the her food tastes weird. P. S My griled cheese sandwich was too hard for my like, i can definitely throw those to someone and hate and be able to make a small injury on that person. That's how hard their grilled cheese sandwich was.",Coffee
Cafe Julieta,7.0574155,125.5892076,3,"This place has a cozy ambiance -- well-lighted, great interiors, instagrammable. There are also many delicious dishes available on their menu. No wonder many families and yuppies choose to dine at Cafe Julieta. The only issue I have is that most of their servers are rude...",Coffee
Cafe Julieta,7.0574155,125.5892076,5,"Total Experience is a twinkling 🌟 🌟 🌟 🌟 🌟 We celebrated the brother of my sister-in-law's birthday one Sunday lunch time, and took advantage of their PHP 500/pax consumable offer. 🏖 HOW IT WORKS: those who want to take a dip is a good P500. But is consumable in food and drinks. *9 pax went to swim [P4500.00] 👍The place is convenient. If you arw looking for a place to get a dip with great meal, Cafe Julieta is a nice place to go to. They have a kiddie pool and pool for adults that can go as deep as 10ft. Their food is also great at a reasonable price. We had their.. 🍽 asian stir fried noodles 🍽 catfish crablet mango salad *my ultimate fave 😋 🍽 house salad 🍽 ceasar salad 🍽 baby back ribs with asian bbq sauce 🍽 fish and chips *served cream dorry and fries with mayo dip 🍽 honey soy chicken 😋 🍽 beef salpicao All I can say is their food is great. I rarely get to like beef dishes, but their beef is legitimately tender. They also serve beer, liquors, coffee and pastries. The pool side is clean. The shower room they come with is well maintained. We also enjoyed their bossa set playing behind family time. The only recommendable thing I can share is, the resto seemed to be short-staffed. Our attendant is super patient, mind you, we are 13 individuals that were served pretty well. I'd give them a 4 for the ""must imprpve on"", but I love the vibes of the place, their staff, ammenities and of course, their food. I'd definitely come back and try to checkin and experience their room accommodation. -future feedback to come.",Coffee
