place_name,latitude,longitude,rating,review_text
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,2,"I will start by saying, I do believe that this place fills a niche of customers that just doesn't fit me. I believe that if you are a student needing a place to study, a crack of dawn runner, early morning worker, or small group of workers …"
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,5,"had a good study session. this cafe is alright. it was kinda chaotic during my visit kasi there were kids running around. the comfort room looks good and clean. i took a peek sa meeting rooms and it’s one of the best i saw so far. overall, this place is on the expensive side"
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,5,"Free wifi if you order drinks. I like their coffee and quisadilla. There is also a tiny restaurant inside this that offers mango sticky rice and its delicious."
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,3,"Your Rice Meal is not worth the Price. Maybe a bigger serving for a 1cup rice would be better. The ambiance and the establishment is great, but an issue with staff that is not attentive to details especially in table cleanliness"
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,4,"Now with more seats and tables at the back of the counter/cashier area. Meals and snacks are pork-free with a good selection of coffee and fruit-based beverages. A Southeast Asian-themed restaurant is also located in the expansion area."
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,2,"Since the Google review page for Martin Asian Cuisine appears to be unavailable, I’m leaving it here under Bloom Cafe, as they share the same space and, I think (?), the same owner, based on the heading of the sales invoice. …"
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,5,"One of the best early morning cafe to chill after your jogging routine (opens at 6am). Pets are allowed in their alfresco area but comes 8am onwards it starts to get hot already. Price ranges of both food and drinks are reasonable enough for the amount of serving."
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,5,"Hi y’all, First let’s talk about the food. I enjoyed their breakfast very much. It was …"
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,4,"Soo good! There is more tables in the back which is more peaceful to study and study rooms you can rent. I didn’t know there was a hidden restaurant too. But comfort room is sometimes nasty. :3"
"The Bloom Coffee & Start-Up Space",7.0573666,125.56099,5,"Went to Bloom Coffee on a Saturday morning around 11:30 and about 10 people already there enjoying coffee. We ordered two coffees and the chicken quesadilla. Staff were helpful and they also brought us water upon our request. We tried one …"
