place_name,latitude,longitude,rating,review_text,Shop_Type
Kofi Gram Bangkal,7.0609524,125.5525877,5,"This is one of my favorite cafés! I’ve been here around six times already, and I even have a loyalty card. The place has a cozy and peaceful atmosphere, making it perfect for studying or getting work done. It’s also conveniently located near my house, which is a big plus. The staff are always friendly, welcoming, and approachable, making every visit a pleasant experience. My go-to order is their matcha drinks, and they never disappoint. Overall, it’s a café I keep coming back to and would definitely recommend to anyone looking for a comfortable place to study, work, or simply relax.",Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,4,"We went to addu bangkal, while my daughter is taking the qeac entrance exam I was looking for a place to stay and luckily it is just located near addu bangkal. The coffee scent welcomes you the moment you open the door. I loved it! We visited late October so as you can see there’s halloween decorations. Surprisingly they accept card payment, I was impressed because not all coffee shops accept card payment and this was a plus! I ordered the cheesecake latte and it was so good.",Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,4,"Visited on a Sunday around 10am. The place was cozy. There are only 2 groups of customers including us so there's much space. Food wise, it was an average serving, average taste.",Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,5,The food serving is so worth it and recommendable!!! I just found this cafe in google recommendations and it went as expected. Great service too by the way!! They’ve rocked this industry so far,Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,5,Great food and coffee options. They are open til midnight. Ambiance feels relaxing too.,Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,4,"Coffee lovers, rejoice! Just had the best experience at Kofi Gram and I can’t stop raving about it! The cozy ambiance, paired with their coffee brews, makes it the perfect spot to chill or catch up with friends. Their Iced Mocha was a total standout – smooth, flavorful, and just the right kick! If you're in Davao, don’t miss out on this gem! 🖤",Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,5,"Our recent saturday night out was a bomb! We arrived around 9 pm and the place was so quiet matched with very welcoming smiles of the staff. The place was trendy and at the same time offers a romantic vibe making it perfect for what we want for a date night. Our orders were serve in less than 10 minutes. Everything was delicious! We tried the beef quesadilla, non coffee chocolate lava drink and blueberry smoothie. And oh! Aside from the warming aesthetical design, a relaxing background music was also played. A+!",Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,5,"Koffee Gram was such a wonderful addition to our wedding reception. Our guests really enjoyed the coffee station, especially during the later part of the celebration when everyone was relaxing and chatting. The quality of coffee was great and your staff was very friendly and accommodating throughout the event. Thank you!",Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,3,"my order is hot spanish latte. the milk was under aeration due to its watery texture. its not over steamed since its not that hot. also, i didnt taste the coffee/espresso even though its 60/40 (if i am not mistaken, but i am sure its not 100% arabica since i asked the barista). i love the atmosphere and the service they provide.",Coffee
Kofi Gram Bangkal,7.0609524,125.5525877,5,"although pricey, still one of the best cafés out there. Food: it was really good, but their burger had too much mayonnaise to the point i thought it was an egg😭 Service: staffs were nice Atmosphere: i loved it sm. It was clean, quiet, cold, and overall comforting. their interior is also aesthetically pleasing, good for pictures ^^",Coffee
