place_name,latitude,longitude,rating,review_text
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"I love the nature vibe it’s giving. If you want a simple but relaxing spot, you can try this cafe. Super love their cheesecake especially when paired with their coffee. Every visit is always a good experience for me."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"love the vibe and greenery here. perfect place to read and just chill out. they also have an indoor seating with only few tables if you prefer with AC. matcha is very umami and the cheesecake was superb. …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,3,"We were looking for a café around the area and stumbled by this café. We had no choice because the nearby cafés were already full. …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"A cozy and comforting spot to relax. The cafe has a warm, homey atmosphere that makes you want to stay a little longer. I really enjoyed their cheesecake it was creamy and delicious, though the …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"The best thing about Cafe Prelaya is its cozy vibe. That to me is a 5/5. We stayed at the garden for our early morning breakfast. We ordered pasta, grilled cheese sandwich, and coffee. Coffee was average. The grilled cheese sandwich was …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"A lovely place to have cup of coffee. They're open to serve as early as 6 am. Overall a solid 5 out of 5 stars ⭐"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"What I love about this place is its chill vibe. The atmosphere is perfect for relaxation and unwinding. Additionally, the food is absolutely fantastic, especially the pecan cheesecake, which is a delectable treat for the taste buds. Another …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"So far with what we've tried, food was good. The drinks are not bad either. We tried their bestseller pecan cheesecake and matcha latte. …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"Cafe Prelaya offers delightful cheesecake and drinks in a charming setting adorned with a cute plant mural. While the food and drinks are delightful, the staff could benefit from additional training in customer service. During my visit, I …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Signs of life at 6 a.m. has in itself earned my thumbs-up. Was welcomed by a yawning-under-his-hoodie-yet-wide-eyed barista. Open-air seating makes up most of the area. By half past 7, Hibiscus tonic in hand, I was out the door. …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"The atmosphere was pleasant. The staff were so friendly and helpful. Contrary to the info that received regarding the being owner so strict. …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Loved the quiet and stillness I experienced when I paid this cafe a visit. I tried the Espresso Spirit while I Was there and it was very refreshing. Ordered an Iced Americano for takeout and I noticed that their espresso is light & bright. Will try the hot drinks & desserts next time."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Not my first time here, but I recently had a strong craving for their caramel pecan cheesecake and let me tell you, they still nailed it! I think they’re the only one in the city that serves this, and it was just as rich, nutty, and …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"I’m not really into cheesecakes but their cheesecake makes an exception. I love that they are not that sweet and the variant with the roasted pecan topping is divine. Their caffeinated drinks are also not that sweet and goes well with the cheesecake. Easily a recommended cafe in Davao City."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Food was great, I love their cup cake. What I really came for was the ambiance, ssooo cozy and secluded. Perfect for reading a book or stepping away from the mundane or chaos that life brings."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Looooove this place. Everything about it - coffee done right, cheesecakes done right, cozy, comfy, homey and just different from all other cafes because of the ambiance. ❤️"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"Place was definitely cozy, with plenty of chairs for that al fresco vibe. Would have loved to stay but parkinv space only fits 2 cars, so very a downer. Drinks (matcha latte & some kind of peach drink) are fine, pecan cheesecake i love. Blueberry cheesecake makaumay though."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Café Prelaya is such a delightful spot 🌿☕ Their cheesecakes are truly the highlight—rich, creamy, and perfectly balanced in flavor. The café itself has a cozy and welcoming vibe, making it a great place to relax or catch up with friends. …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"Laidback ambiance to grab a quick coffee. Looking forward for additional food options to partner their tasty drinks! ++pet friendly a plus"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"one of the best coffee shops i’ve been too. it’s too lowkey and underrated it deserves more hype ✨"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"The place looks incredible, i went here with my family to try out their coffee and desserts, me and my family liked it so much. I suggest you go here at night or at dawn."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Absolutely delicious cheesecake! Very cozy vibe. Excellent coffee and service as well. A must try!"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,3,"Good place. Nice ambiance but food was so-so. Specially the pasta that was already cold and dry. They don’t prepare upon order, for sure."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"My personal best reading spot no. 2 here in Davao. Delicious bestseller cheesecake!!! Good drinks. One of the best customer service among other cafes in the city. Great place to hang with friends."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Great for chilling and relaxation. Good food esp the cheese cakes and good vibes.."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"The barista staff is very kindly. I really enjoyed conversation with him. Thanks for your hospitality!"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,2,"Another addition to the growing list of Instagrammable coffee shops in Davao, this place looks the part but unfortunately doesn’t offer much beyond aesthetics. The drinks were average at best — the matcha latte was drinkable but lacked …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,3,"Coffee: not a coffee connoisseur but the coffee was somewhat sour. I dont know where they source them or im just used to arabica beans that taste like rich chocolate🙏 4/10 …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,3,"Coffee was terrible. We ordered 4 DIFFERENT types of coffee and we all had the same opinion about it. Not sure if it was a one-time issue, Im still willing to give a try because the ambiance of the place is chill and relaxing. We’ll see… I heard the cakes were good, so maybe we will try that too."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Perferct place to chill and connect with friends. Cheesecake was 8/10"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,3,"One sleepy waiter will try to do his work best he can (4 people, only bring 1 plate) and you will have to get the menu and order bu yourself inside the building although you decided to seat outside. Peacefull place. Barista was great and well offering their homemade cakes."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"Had a last minute coffee hang with friends after dinner, and this popped out from reco places near us. …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Never fails to give 5 ⭐️ taste and service."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Great Service, Food and Ambience. Best part is Pets allowed 👏👌🐾🐶 …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"The hibiscus espresso tonic was so good 🥰 ambiance was windy too …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Having the options of indoor sitting or go al fresco is great! It is quite the change from the usual industrial ambiance of every café you would find in an urban area. They have great pastries to go with your coffee too, and their muffins are a must."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Very aesthetic place. Love to comeback here someday."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"Has no wifi. The choco chip muffin are the best. Tonic Drinks are great too. Ambiance is perff. Staff are nice and cool."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"💚 …"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Great coffee, staff and ambience. Just a few has great outdoor ambience in the city. They also have cookies and cheesecakes available."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Never fails to give 5 ⭐️ taste and service."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"💚"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Nice place, the coffee is great as well as the cakes. Will visit again soon. :) ♡"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Homey vibe, lots of plants, with skilled and friendly baristas. Great coffee."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"Great cheesecake and coffee. Just wished they were open until 9PM, as it's tough to get there while they're still open after having dinner."
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,5,"Sea salt coffee is a dream!"
"Café Prelaya by The Joaquins’ Cheesecakes",7.0574508,125.5609042,4,"Drinks were so so, nothing special."
