place_name,rating,shop_type,sentence,TargetAspect,Sentiment,is_synthetic
Matcha Milk Bar,1,coffee and matcha,"Walay bisan unsang aircon nga gana, sobra ka init sulod bisan naay AC unit.",Store Operations and Accessibility,Negative,TRUE
Torres St. Coffee,2,matcha,"Naa lang gyud usa ka parking slot for guest, dili igo para sa peak hours.",Store Operations and Accessibility,Negative,TRUE
Ma-a Coffee Stop,1,matcha,Grabe ka lisod ma access ang loob kay naka barricade ang entrance due sa repair.,Store Operations and Accessibility,Negative,TRUE
Kape Habagat,2,coffee,"Wala jud signage sa gawas, nasagpa mi og layo kay wala nakit-an ang entrance.",Store Operations and Accessibility,Negative,TRUE
Obrero Brew Bar,2,coffee and matcha,Sobra ka lisod ang pag park kay reserved lahat para sa staff nila lang.,Store Operations and Accessibility,Negative,TRUE
Steep Leaf Davao,1,coffee and matcha,Mag order lang ka pila na ka minuto ang hulat kay kulang ug staff sa counter.,Store Operations and Accessibility,Negative,TRUE
Cafe Agdao,2,matcha,Naay app booking sila pero wala man diay ni sync sa actual availability.,Store Operations and Accessibility,Negative,TRUE
Matcha Mo Davao,2,coffee,Sobra ka init sa waiting area kay walay proper ventilation bisan naay fan.,Store Operations and Accessibility,Negative,TRUE
Bankerohan Brew,1,coffee,Naay sign nga wifi available pero mao gyud ang pinaka sira nga signal sa tibuok area.,Store Operations and Accessibility,Negative,TRUE
Tugbok Brew House,2,matcha,"Grabe ka layo gikan sa highway, kinahanglan mo agi pa og dalan nga bumpy kaayo.",Store Operations and Accessibility,Negative,TRUE
Brewpoint Davao,1,coffee and matcha,"Grabe ka lisod i-park diri, walay parking space bisan gamay.",Store Operations and Accessibility,Negative,TRUE
Bajada Bean Co.,1,coffee,Naay sign nga open pero pag text nako sa contact number wala jud gi reply.,Store Operations and Accessibility,Negative,TRUE
Brew Nation Davao,1,coffee,"Grabe ka lisod ang access sa CR, kinahanglan mo hangyo pa sa staff para sa key.",Store Operations and Accessibility,Negative,TRUE
Brew & Bites Davao,1,matcha,"Sobra ka layo ang pinaka duol nga parking building, mag lakaw ka og upat minuto.",Store Operations and Accessibility,Negative,TRUE
Sagrada Coffee Nook,1,matcha,"Grabe ka layo ang CR gikan sa seating area, kinahanglan mo gawas pa sa building.",Store Operations and Accessibility,Negative,TRUE
Cafe Panabo Road,1,coffee,Sobra ka lisod ma locate ang entrance kay wala silay clear signage sa gawas.,Store Operations and Accessibility,Negative,TRUE
Kape Diwa Davao,2,coffee,"Wala silay proper drainage, mag tubig ang entrance every time mo ulan.",Store Operations and Accessibility,Negative,TRUE
Bean Route Davao,1,coffee and matcha,"Walay proper waiting area, magtindog na lang mi outside sa init while naghulat.",Store Operations and Accessibility,Negative,TRUE
The Daily Grind Davao,1,coffee,"Sobra ka gamay ang store, dili jud angay para sa daghan customers per hour.",Store Operations and Accessibility,Negative,TRUE
Brew Society Davao,1,coffee,"Layo kaayo ang nearest jeepney stop, mag lakaw pa ka og pito ka minuto.",Store Operations and Accessibility,Negative,TRUE
Green Whisk Matcha House,1,coffee,"Grabe ka hirap hanapin, wala man gani nag stand out ang signage nila sa kadalanan.",Store Operations and Accessibility,Negative,TRUE
Cafe Malagos Roasters,1,matcha,Grabe ka daghan mag order pero isa ra ka staff naka duty sa buong shift.,Store Operations and Accessibility,Negative,TRUE
Roxas Ave Roastery,2,matcha,"Naabot ko alas 3 tapos sarado na, sa Google Maps until 6pm man unta.",Store Operations and Accessibility,Negative,TRUE
Cafe Toril,1,matcha,"Naa lang gyud usa ka cashier bisan Saturday rush hour, sobra ka hinay ang linya.",Store Operations and Accessibility,Negative,TRUE
Catalunan Cafe Stop,1,coffee,Sobra ka init sa sulod kay naa lang isa ka aircon unit para sa buong store.,Store Operations and Accessibility,Negative,TRUE
Matcha & Co. Davao,1,matcha,"Naay isa lang ka staff nga naka duty, sobra ka hinay ang pag serve sa order.",Store Operations and Accessibility,Negative,TRUE
Matina Matcha Lab,1,coffee,"Wala silay clear schedule, lahi lahi permi ang closing time depende sa staff.",Store Operations and Accessibility,Negative,TRUE
Cafe Kadayawan,1,coffee and matcha,"Wala sila nag post nga holiday closed sila, nagbyahe pa mi from Toril para wala lang.",Store Operations and Accessibility,Negative,TRUE
Kape Lokal,1,matcha,"Sobra ka layo ang jeepney terminal gikan sa store, mag Grab na lang lagi ka.",Store Operations and Accessibility,Negative,TRUE
Matcha Muna,2,coffee,Wala jud sila mag update sa holiday schedule nila sa social media.,Store Operations and Accessibility,Negative,TRUE
Green Leaf Matcha Bar,1,matcha,Naay sign nga wheelchair accessible pero naay steep steps padulong sa entrance.,Store Operations and Accessibility,Negative,TRUE
Cafe Ilang-Ilang,1,coffee,"Wala silay proper signage papunta sa parking, na miss mi og turn kay wala nakita.",Store Operations and Accessibility,Negative,TRUE
Matcha Bar 88,1,matcha,"Wala silay heads up nga closed sila for private event, nagbyahe pa mi para wala lang.",Store Operations and Accessibility,Negative,TRUE
Kape Balay,1,coffee,Grabe ka daghan customers per table area nga sobra ka gamay para sa tanan.,Store Operations and Accessibility,Negative,TRUE
Kape Bukid,1,coffee,"Sobra ka bright ug hot init sa sulod, wala jud gina turn on ang aircon.",Store Operations and Accessibility,Negative,TRUE
Barako Corner Cafe,1,coffee,"Naay isa lang ka table para sa outdoor, so kapoy ka naghulat og maayo nga slot.",Store Operations and Accessibility,Negative,TRUE
Buhangin Bean House,2,coffee,"Sobra ka lisod ang signal sa wifi bisan naa ka duol sa router, permi disconnect.",Store Operations and Accessibility,Negative,TRUE
Lanang Latte Bar,2,coffee and matcha,Grabe kalisod ang pag park sa evening kay walay light sa parking area.,Store Operations and Accessibility,Negative,TRUE
