place_name,latitude,longitude,rating,review_text
"Café Racer Coffee",7.0573666,125.56099,5,"Their coffee is lit! The flavors are so on point. My partner loved his cold brew and I loved my dirty matcha. It completed our day. No wonder why people notices this coffee shop. The Barista got skills!"
"Café Racer Coffee",7.0573666,125.56099,4,"December 4, 2025. Arrived at 8:56pm. Been meaning to try to go here just so I can picture the menu for Google reviews. But then they also participated in coffee competitions and crawls so why not? …"
"Café Racer Coffee",7.0573666,125.56099,5,"Been a regular since it was a parking lot pop up. Vibes is homey, welcoming, and just friends having good conversation and coffee. …"
"Café Racer Coffee",7.0573666,125.56099,5,"Ordered their matcha vol. 2 and it was so good. Hoping to taste their vo. 3 next time i come back to their place! Really loved the local community slow bar vibe they got going on."
"Café Racer Coffee",7.0573666,125.56099,5,"Nothing beat a cafe close to home, esp if it's nearly midnight. One of the places where you get good coffee and matcha, a lot of baristas and coffee enthusiasts from all over davao visit this place to unwind after their dayjobs. Maga tuon …"
"Café Racer Coffee",7.0573666,125.56099,5,"been here a lot of times. prob my fav cafe in the south :)"
"Café Racer Coffee",7.0573666,125.56099,5,"Love their drinks. Highly recommend!!"
"Café Racer Coffee",7.0573666,125.56099,5,"One of the best legitimate cafes in davao 💯 Food: 5 Service: 5 Atmosphere: 5 …"
"Café Racer Coffee",7.0573666,125.56099,5,""
"Café Racer Coffee",7.0573666,125.56099,5,""
"Café Racer Coffee",7.0573666,125.56099,5,"One of the best legitimate cafes in davao 💯 Food: 5 Service: 5 Atmosphere: 5"
"Café Racer Coffee",7.0573666,125.56099,3,""
"Café Racer Coffee",7.0573666,125.56099,5,""
"Café Racer Coffee",7.0573666,125.56099,5,""
"Café Racer Coffee",7.0573666,125.56099,5,""
"Café Racer Coffee",7.0573666,125.56099,5,""
"Café Racer Coffee",7.0573666,125.56099,3,""
"Café Racer Coffee",7.0573666,125.56099,5,""
"Café Racer Coffee",7.0573666,125.56099,5,""
